피드백ID,멤버ID,제출일,소속팀,전체만족도,팀활동만족도,이벤트만족도,공간만족도,네트워킹만족도,가성비만족도,재등록의향,추천의향NPS,좋았던점,아쉬운점,다음시즌희망팀
FB-2025W-001,HFK-25W-151,2026-02-17,고급파전략,2,5,4,4,4,4,높음,6,주 2회 미팅인데 부담 안 됨. 이 밸런스가 딱임,겨울시즌은 연말이라 집중하기 어려운 시기,상관없음
FB-2025W-002,HFK-25W-065,2026-02-18,리더십랩,3,5,4,3,4,4,매우높음,10,정동 오아시스 공간 자체가 선물,클로징데이 준비 시간이 너무 촉박했음,상관없음
FB-2025W-003,HFK-25W-145,2026-02-15,AI부사수,5,5,4,4,4,5,높음,10,같은 고민을 가진 사람들이 있다는 것만으로도 충분,겨울시즌은 연말이라 집중하기 어려운 시기,상관없음
FB-2025W-004,HFK-25W-078,2026-02-22,저스트,4,4,3,4,4,4,높음,7,파트너 언니 덕분에 이직 성공했습니다,클로징데이 준비 시간이 너무 촉박했음,상관없음
FB-2025W-005,HFK-25W-081,2026-02-28,북클럽클래식,4,2,4,4,3,4,높음,5,오프닝데이 에너지 진짜 좋았음,팀 배정이 1지망 반영 안 될 때 실망스러움,마케팅디깅
FB-2025W-006,HFK-25W-075,2026-02-21,커리어피벗,4,4,5,5,5,3,보통,6,영어토론팀 덕분에 말문이 트임,주차 공간이 없어서 대중교통 필수인 점 아쉬움,영어토론
FB-2025W-007,HFK-25W-079,2026-02-22,AI부사수,5,4,3,4,4,3,매우높음,4,정동 오아시스 공간 자체가 선물,번개모임이 서울 중심이라 외곽 멤버는 참여 어려움,리더십랩
FB-2025W-008,HFK-25W-003,2026-02-28,마케팅디깅,3,2,5,4,3,3,높음,8,파트너 언니 덕분에 이직 성공했습니다,피드백이 실제로 반영되는지 모르겠음,상관없음
FB-2025W-009,HFK-25W-019,2026-02-21,영어토론,4,3,5,4,5,5,높음,7,매 시즌 새로운 사람 만나는 게 최고 자산,팀 배정이 1지망 반영 안 될 때 실망스러움,저스트
FB-2025W-010,HFK-25W-131,2026-02-21,AI부사수,3,4,4,4,5,2,높음,7,AI팀인데 GPT vs Claude 논쟁이 3시간 걸린 날이 있었음,클로징데이 준비 시간이 너무 촉박했음,고급파전략
FB-2025W-011,HFK-25W-158,2026-02-26,리더십랩,3,3,3,4,3,3,매우높음,6,커리어피벗 덕분에 이직 방향 잡았음,겨울시즌은 연말이라 집중하기 어려운 시기,상관없음
FB-2025W-012,HFK-25W-162,2026-02-15,영어토론,4,4,5,5,4,3,높음,7,주 2회 미팅인데 부담 안 됨. 이 밸런스가 딱임,해외 필드트립 추가 비용이 부담스러움,고급파전략
FB-2025W-013,HFK-25W-063,2026-02-15,마케팅디깅,4,5,3,5,4,4,높음,3,재윤님이 갑자기 Claude한테 '우리 안 한거 뭐야' 물어봤을때 다같이 웃었음,팀 배정이 1지망 반영 안 될 때 실망스러움,영어토론
FB-2025W-014,HFK-25W-144,2026-02-20,영어토론,4,3,4,5,5,3,보통,8,정동 오아시스 공간 자체가 선물,팀별 온도차가 있음. 팀 운에 좌우되는 부분 있음,상관없음
FB-2025W-015,HFK-25W-050,2026-02-18,리더십랩,4,4,5,4,4,4,보통,6,클로징데이 발표 보면서 내가 뭘 배웠는지 정리됨,겨울시즌은 연말이라 집중하기 어려운 시기,마케팅디깅
FB-2025W-016,HFK-25W-140,2026-02-21,커리어피벗,5,5,2,4,3,3,높음,9,슬랙 채널이 살아있어서 좋음. 죽은 커뮤니티가 아님,팀별 온도차가 있음. 팀 운에 좌우되는 부분 있음,상관없음
FB-2025W-017,HFK-25W-055,2026-02-18,리더십랩,5,3,5,5,3,3,보통,4,재윤님이 갑자기 Claude한테 '우리 안 한거 뭐야' 물어봤을때 다같이 웃었음,슬랙 알림이 너무 많아서 끄게 됨,커리어피벗
FB-2025W-018,HFK-25W-121,2026-02-16,고급파전략,4,5,4,5,4,5,높음,5,파트너 언니 덕분에 이직 성공했습니다,겨울시즌은 연말이라 집중하기 어려운 시기,리더십랩
FB-2025W-019,HFK-25W-166,2026-02-15,마케팅디깅,4,3,4,3,5,4,높음,9,재윤님이 갑자기 Claude한테 '우리 안 한거 뭐야' 물어봤을때 다같이 웃었음,해외 필드트립 추가 비용이 부담스러움,상관없음
FB-2025W-020,HFK-25W-048,2026-02-26,리더십랩,3,4,4,4,4,4,매우낮음,7,같은 고민을 가진 사람들이 있다는 것만으로도 충분,주차 공간이 없어서 대중교통 필수인 점 아쉬움,영어토론
FB-2025W-021,HFK-25W-035,2026-02-28,영어토론,4,5,3,5,3,2,매우높음,6,정동 오아시스 공간 자체가 선물,54만원 가성비를 증명하려면 콘텐츠 더 필요,고급파전략
FB-2025W-022,HFK-25W-164,2026-02-21,커리어피벗,5,4,4,4,4,4,매우높음,8,클로징데이 발표 보면서 내가 뭘 배웠는지 정리됨,해외 필드트립 추가 비용이 부담스러움,저스트
FB-2025W-023,HFK-25W-069,2026-02-20,리더십랩,3,3,4,5,4,5,높음,8,부부멤버가 팀 미팅에서 말다툼한 건 좀 ㅋㅋ,겨울시즌은 연말이라 집중하기 어려운 시기,상관없음
FB-2025W-024,HFK-25W-164,2026-02-19,북클럽클래식,5,4,3,5,4,3,높음,4,같은 고민을 가진 사람들이 있다는 것만으로도 충분,번개모임이 서울 중심이라 외곽 멤버는 참여 어려움,상관없음
FB-2025W-025,HFK-25W-056,2026-02-27,저스트,4,3,4,3,3,3,낮음,9,주 2회 미팅인데 부담 안 됨. 이 밸런스가 딱임,54만원 가성비를 증명하려면 콘텐츠 더 필요,상관없음
FB-2025W-026,HFK-25W-039,2026-02-17,북클럽클래식,5,5,3,4,3,1,높음,7,재윤님이 갑자기 Claude한테 '우리 안 한거 뭐야' 물어봤을때 다같이 웃었음,팀장 역량에 따라 시즌 퀄리티가 많이 갈림,고급파전략
FB-2025W-027,HFK-25W-107,2026-02-22,AI부사수,3,4,4,4,4,3,매우높음,8,부부멤버가 팀 미팅에서 말다툼한 건 좀 ㅋㅋ,시즌 중반 넘어가면 참여율이 뚝 떨어짐,상관없음
FB-2025W-028,HFK-25W-016,2026-02-16,영어토론,4,5,4,4,3,5,높음,6,고급파전략 팀 케이스스터디 퀄이 진짜 높음,팀장 역량에 따라 시즌 퀄리티가 많이 갈림,상관없음
FB-2025W-029,HFK-25W-097,2026-02-21,마케팅디깅,4,3,3,4,4,4,높음,4,오프닝데이 에너지 진짜 좋았음,팀 배정이 1지망이 아니라 아쉬웠음,상관없음
FB-2025W-030,HFK-25W-077,2026-02-22,커리어피벗,4,2,4,4,5,3,보통,10,팀원들이랑 밥 먹으러 가는게 이 커뮤니티의 핵심,파트너 승격 기준이 뭔지 아직도 모르겠음,상관없음
FB-2025W-031,HFK-25W-108,2026-02-24,AI부사수,4,4,3,4,3,2,매우높음,9,같은 고민을 가진 사람들이 있다는 것만으로도 충분,54만원 가성비를 증명하려면 콘텐츠 더 필요,상관없음
FB-2025W-032,HFK-25W-015,2026-02-17,리더십랩,4,4,5,3,4,4,매우높음,3,북클럽클래식 팀장님이 요약을 너무 잘 해주셔서 책 안 읽어도 됨 ㅋㅋ,주차 공간이 없어서 대중교통 필수인 점 아쉬움,저스트
FB-2025W-033,HFK-25W-077,2026-02-19,AI부사수,3,4,4,4,4,2,매우높음,5,고급파전략 팀 케이스스터디 퀄이 진짜 높음,주차 공간이 없어서 대중교통 필수인 점 아쉬움,리더십랩
FB-2025W-034,HFK-25W-107,2026-02-21,고급파전략,5,4,4,4,4,4,매우높음,10,슬랙 채널이 살아있어서 좋음. 죽은 커뮤니티가 아님,파트너 승격 기준이 뭔지 아직도 모르겠음,상관없음
FB-2025W-035,HFK-25W-107,2026-02-23,고급파전략,4,4,4,5,3,4,높음,7,고급파전략 팀 케이스스터디 퀄이 진짜 높음,파트너 승격 기준이 뭔지 아직도 모르겠음,상관없음
FB-2025W-036,HFK-25W-049,2026-02-27,저스트,4,2,4,3,5,5,매우낮음,7,팀원들이랑 밥 먹으러 가는게 이 커뮤니티의 핵심,번개모임이 서울 중심이라 외곽 멤버는 참여 어려움,상관없음
FB-2025W-037,HFK-25W-155,2026-02-26,저스트,4,4,4,5,3,4,높음,4,슬랙 채널이 살아있어서 좋음. 죽은 커뮤니티가 아님,슬랙 알림이 너무 많아서 끄게 됨,상관없음
FB-2025W-038,HFK-25W-121,2026-02-27,북클럽클래식,5,5,3,4,5,3,매우높음,8,마케팅디깅 팀 실무 인사이트 갖고 가는 게 많음,앱이 없어서 슬랙 의존도가 너무 높음,리더십랩
FB-2025W-039,HFK-25W-051,2026-02-20,저스트,3,5,3,4,4,3,보통,9,영어토론팀 덕분에 말문이 트임,팀장 역량에 따라 시즌 퀄리티가 많이 갈림,고급파전략
FB-2025W-040,HFK-25W-091,2026-02-17,고급파전략,4,4,3,5,4,3,매우높음,6,슬기님 슬랙 공지에 오타가 줄었어요 감동,파트너 승격 기준이 뭔지 아직도 모르겠음,상관없음
FB-2025W-041,HFK-25W-106,2026-02-17,저스트,5,4,4,5,5,4,낮음,9,정동 뷰가 미쳤음. 덕수궁 석양 보면서 HBR 읽는 맛,시즌 중간에 합류하기 어려운 구조,상관없음
FB-2025W-042,HFK-25W-106,2026-02-15,AI부사수,3,3,4,4,4,4,보통,4,네트워킹 퀄리티가 다름. 다들 진짜 일 잘하는 사람들,슬랙 알림이 너무 많아서 끄게 됨,상관없음
FB-2025W-043,HFK-25W-135,2026-02-17,저스트,4,5,4,4,3,4,높음,2,오프닝데이 에너지 진짜 좋았음,겨울시즌은 연말이라 집중하기 어려운 시기,상관없음
FB-2025W-044,HFK-25W-021,2026-02-25,AI부사수,3,5,4,4,4,4,높음,7,커리어피벗 덕분에 이직 방향 잡았음,클로징데이 준비 시간이 너무 촉박했음,상관없음
FB-2025W-045,HFK-25W-025,2026-02-23,AI부사수,4,5,3,3,4,5,보통,6,정동 오아시스 공간 자체가 선물,파트너 승격 기준이 뭔지 아직도 모르겠음,고급파전략
FB-2025W-046,HFK-25W-081,2026-02-15,저스트,5,3,3,4,3,4,매우높음,7,고급파전략 팀 케이스스터디 퀄이 진짜 높음,클로징데이 준비 시간이 너무 촉박했음,북클럽클래식
FB-2025W-047,HFK-25W-036,2026-02-27,마케팅디깅,2,4,5,5,4,3,보통,8,AI팀인데 GPT vs Claude 논쟁이 3시간 걸린 날이 있었음,온라인 참여 옵션이 없어서 출장 때 빠질 수밖에 없었음,상관없음
FB-2025W-048,HFK-25W-116,2026-02-22,저스트,4,3,5,3,5,3,높음,6,오프닝데이 에너지 진짜 좋았음,시즌 중반 넘어가면 참여율이 뚝 떨어짐,마케팅디깅
FB-2025W-049,HFK-25W-040,2026-02-21,고급파전략,4,3,4,4,4,4,매우높음,7,슬랙 채널이 살아있어서 좋음. 죽은 커뮤니티가 아님,주차 공간이 없어서 대중교통 필수인 점 아쉬움,커리어피벗
FB-2025W-050,HFK-25W-007,2026-02-16,북클럽클래식,4,3,3,5,2,4,보통,7,같은 고민을 가진 사람들이 있다는 것만으로도 충분,온보딩이 좀 더 체계적이면 좋겠음 (신규 멤버 입장),상관없음
FB-2025W-051,HFK-25W-044,2026-02-25,커리어피벗,4,5,4,5,4,4,매우높음,7,오프닝데이 에너지 진짜 좋았음,번개모임이 서울 중심이라 외곽 멤버는 참여 어려움,상관없음
FB-2025W-052,HFK-25W-051,2026-02-22,마케팅디깅,3,4,4,3,5,2,높음,9,커리어피벗 덕분에 이직 방향 잡았음,팀 배정이 1지망 반영 안 될 때 실망스러움,리더십랩
FB-2025W-053,HFK-25W-155,2026-02-26,저스트,4,4,3,5,4,2,매우낮음,7,클로징데이 발표 보면서 내가 뭘 배웠는지 정리됨,해외 필드트립 추가 비용이 부담스러움,북클럽클래식
FB-2025W-054,HFK-25W-145,2026-02-18,고급파전략,3,4,3,5,4,3,매우높음,5,부부멤버가 팀 미팅에서 말다툼한 건 좀 ㅋㅋ,시즌 중반 넘어가면 참여율이 뚝 떨어짐,상관없음
FB-2025W-055,HFK-25W-105,2026-02-25,영어토론,5,5,4,5,3,4,높음,5,같은 고민을 가진 사람들이 있다는 것만으로도 충분,주차 공간이 없어서 대중교통 필수인 점 아쉬움,상관없음
FB-2025W-056,HFK-25W-108,2026-02-23,AI부사수,3,4,3,5,3,3,보통,6,정동 오아시스 공간 자체가 선물,피드백이 실제로 반영되는지 모르겠음,고급파전략
FB-2025W-057,HFK-25W-157,2026-02-15,커리어피벗,5,4,4,4,4,4,보통,4,오프닝데이 에너지 진짜 좋았음,팀장 역량에 따라 시즌 퀄리티가 많이 갈림,북클럽클래식
FB-2025W-058,HFK-25W-119,2026-02-27,고급파전략,4,4,4,5,5,4,낮음,6,북클럽클래식 팀장님이 요약을 너무 잘 해주셔서 책 안 읽어도 됨 ㅋㅋ,피드백이 실제로 반영되는지 모르겠음,리더십랩
FB-2025W-059,HFK-25W-117,2026-02-27,저스트,3,4,5,5,4,3,매우높음,7,AI팀인데 GPT vs Claude 논쟁이 3시간 걸린 날이 있었음,슬랙 알림이 너무 많아서 끄게 됨,상관없음
FB-2025W-060,HFK-25W-043,2026-02-26,저스트,4,3,4,4,5,2,높음,7,네트워킹 퀄리티가 다름. 다들 진짜 일 잘하는 사람들,앱이 없어서 슬랙 의존도가 너무 높음,커리어피벗
FB-2025W-061,HFK-25W-158,2026-02-18,영어토론,3,4,4,4,4,2,매우높음,10,네트워킹 퀄리티가 다름. 다들 진짜 일 잘하는 사람들,피드백이 실제로 반영되는지 모르겠음,리더십랩
FB-2025W-062,HFK-25W-118,2026-02-16,리더십랩,5,4,3,5,4,3,매우높음,8,매 시즌 새로운 사람 만나는 게 최고 자산,팀장 역량에 따라 시즌 퀄리티가 많이 갈림,상관없음
FB-2025W-063,HFK-25W-077,2026-02-24,마케팅디깅,4,3,4,5,4,4,높음,5,커리어피벗 덕분에 이직 방향 잡았음,오프라인 행사 날짜가 직장인한테 좀 빡셈,영어토론
FB-2025W-064,HFK-25W-138,2026-02-26,고급파전략,4,3,4,5,5,3,높음,7,정동 뷰가 미쳤음. 덕수궁 석양 보면서 HBR 읽는 맛,번개모임이 서울 중심이라 외곽 멤버는 참여 어려움,고급파전략
FB-2025W-065,HFK-25W-099,2026-02-23,영어토론,3,5,4,4,5,4,보통,7,오프닝데이 에너지 진짜 좋았음,겨울시즌은 연말이라 집중하기 어려운 시기,고급파전략
FB-2025W-066,HFK-25W-118,2026-02-24,영어토론,4,4,4,5,5,4,보통,5,재윤님이 갑자기 Claude한테 '우리 안 한거 뭐야' 물어봤을때 다같이 웃었음,팀장 역량에 따라 시즌 퀄리티가 많이 갈림,상관없음
FB-2025W-067,HFK-25W-109,2026-02-16,저스트,3,5,3,5,4,3,매우낮음,7,마케팅디깅 팀 실무 인사이트 갖고 가는 게 많음,피드백이 실제로 반영되는지 모르겠음,상관없음
FB-2025W-068,HFK-25W-157,2026-02-25,커리어피벗,4,4,4,4,5,4,매우높음,7,같은 고민을 가진 사람들이 있다는 것만으로도 충분,오프라인 행사 날짜가 직장인한테 좀 빡셈,리더십랩
FB-2025W-069,HFK-25W-075,2026-02-19,리더십랩,5,4,5,4,5,5,높음,8,차박에서 재윤님이 텐트 못 치는거 봄 ㅋㅋ,팀 배정이 1지망 반영 안 될 때 실망스러움,상관없음
FB-2025W-070,HFK-25W-034,2026-02-18,고급파전략,4,4,2,4,3,2,매우높음,7,커리어피벗 덕분에 이직 방향 잡았음,해외 필드트립 추가 비용이 부담스러움,커리어피벗
FB-2025W-071,HFK-25W-163,2026-02-27,마케팅디깅,3,5,3,3,3,4,높음,9,슬기님 슬랙 공지에 오타가 줄었어요 감동,팀장 역량에 따라 시즌 퀄리티가 많이 갈림,상관없음
FB-2025W-072,HFK-25W-092,2026-02-28,마케팅디깅,3,4,3,5,4,3,매우높음,7,같은 고민을 가진 사람들이 있다는 것만으로도 충분,팀 배정이 1지망 반영 안 될 때 실망스러움,상관없음
FB-2025W-073,HFK-25W-125,2026-02-27,북클럽클래식,5,3,5,5,4,3,낮음,8,커리어피벗 덕분에 이직 방향 잡았음,54만원 가성비를 증명하려면 콘텐츠 더 필요,상관없음
FB-2025W-074,HFK-25W-034,2026-02-25,리더십랩,5,5,5,4,5,3,낮음,8,네트워킹 퀄리티가 다름. 다들 진짜 일 잘하는 사람들,파트너 승격 기준이 뭔지 아직도 모르겠음,커리어피벗
FB-2025W-075,HFK-25W-079,2026-02-26,저스트,4,4,4,5,5,4,높음,6,AI팀인데 GPT vs Claude 논쟁이 3시간 걸린 날이 있었음,슬랙 알림이 너무 많아서 끄게 됨,상관없음
FB-2025W-076,HFK-25W-109,2026-02-26,고급파전략,4,3,4,5,5,4,매우높음,8,고급파전략 팀 케이스스터디 퀄이 진짜 높음,팀 배정이 1지망 반영 안 될 때 실망스러움,상관없음
FB-2025W-077,HFK-25W-037,2026-02-16,AI부사수,4,4,4,5,4,1,높음,6,팀원들이랑 밥 먹으러 가는게 이 커뮤니티의 핵심,팀 배정이 1지망 반영 안 될 때 실망스러움,상관없음
FB-2025W-078,HFK-25W-151,2026-02-26,커리어피벗,4,3,5,4,3,3,높음,6,차박캠핑 새벽에 다같이 라면 먹은 거 명장면,겨울시즌은 연말이라 집중하기 어려운 시기,상관없음
FB-2025W-079,HFK-25W-007,2026-02-28,리더십랩,4,5,4,5,3,2,보통,7,오프닝데이 에너지 진짜 좋았음,번개모임이 서울 중심이라 외곽 멤버는 참여 어려움,상관없음
FB-2025W-080,HFK-25W-019,2026-02-23,AI부사수,5,5,4,5,5,3,보통,6,영어토론팀 덕분에 말문이 트임,시즌 중반 넘어가면 참여율이 뚝 떨어짐,AI부사수
FB-2025W-081,HFK-25W-018,2026-02-15,리더십랩,4,5,5,4,4,5,보통,5,차박에서 재윤님이 텐트 못 치는거 봄 ㅋㅋ,팀 배정이 1지망 반영 안 될 때 실망스러움,리더십랩
FB-2025W-082,HFK-25W-080,2026-02-16,저스트,4,5,4,4,5,4,높음,4,도쿄 필드트립 평생 잊을 수 없음,앱이 없어서 슬랙 의존도가 너무 높음,상관없음
