피드백ID,멤버ID,제출일,소속팀,전체만족도,팀활동만족도,이벤트만족도,공간만족도,네트워킹만족도,가성비만족도,재등록의향,추천의향NPS,좋았던점,아쉬운점,다음시즌희망팀
FB-2025W-083,HFK-25W-062,2026-02-15,저스트,5,4,3,5,4,5,보통,9,부부멤버가 팀 미팅에서 말다툼한 건 좀 ㅋㅋ,파트너 승격 기준이 불명확함,고급파전략
FB-2025W-084,HFK-25W-089,2026-02-23,리더십랩,5,4,4,4,3,5,매우높음,5,커리어피벗 덕분에 이직 방향 잡았음,팀별 온도차가 있음. 팀 운에 좌우되는 부분 있음,영어토론
FB-2025W-085,HFK-25W-068,2026-02-26,마케팅디깅,3,4,5,5,4,4,보통,9,팀원들이랑 밥 먹으러 가는게 이 커뮤니티의 핵심,온보딩이 좀 더 체계적이면 좋겠음 (신규 멤버 입장),상관없음
FB-2025W-086,HFK-25W-001,2026-02-15,AI부사수,3,4,5,4,4,5,높음,5,부부멤버가 팀 미팅에서 말다툼한 건 좀 ㅋㅋ,앱이 없어서 슬랙 의존도가 너무 높음,저스트
FB-2025W-087,HFK-25W-064,2026-02-21,북클럽클래식,4,4,3,5,4,3,보통,10,슬기님 슬랙 공지에 오타가 줄었어요 감동,팀장 역량에 따라 시즌 퀄리티가 많이 갈림,상관없음
FB-2025W-088,HFK-25W-080,2026-02-20,마케팅디깅,4,4,4,5,5,3,높음,9,마케팅디깅 팀 실무 인사이트 갖고 가는 게 많음,번개모임이 서울 중심이라 외곽 멤버는 참여 어려움,상관없음
FB-2025W-089,HFK-25W-051,2026-02-26,저스트,5,5,5,4,3,2,매우높음,5,고급파전략 팀 케이스스터디 퀄이 진짜 높음,겨울시즌은 연말이라 집중하기 어려운 시기,마케팅디깅
FB-2025W-090,HFK-25W-136,2026-02-18,커리어피벗,5,4,4,5,4,5,낮음,9,주 2회 미팅인데 부담 안 됨. 이 밸런스가 딱임,앱이 없어서 슬랙 의존도가 너무 높음,상관없음
FB-2025W-091,HFK-25W-096,2026-02-22,마케팅디깅,3,3,3,4,4,3,보통,8,AI팀인데 GPT vs Claude 논쟁이 3시간 걸린 날이 있었음,해외 필드트립 추가 비용이 부담스러움,상관없음
FB-2025W-092,HFK-25W-084,2026-02-20,영어토론,5,4,4,5,5,3,매우높음,6,슬랙 채널이 살아있어서 좋음. 죽은 커뮤니티가 아님,클로징데이 준비 시간이 너무 촉박했음,커리어피벗
FB-2025W-093,HFK-25W-138,2026-02-20,저스트,3,4,4,4,4,3,보통,6,AI팀인데 GPT vs Claude 논쟁이 3시간 걸린 날이 있었음,팀 배정이 1지망 반영 안 될 때 실망스러움,마케팅디깅
FB-2025W-094,HFK-25W-064,2026-02-20,커리어피벗,4,3,4,4,5,4,높음,7,같은 고민을 가진 사람들이 있다는 것만으로도 충분,온보딩이 좀 더 체계적이면 좋겠음 (신규 멤버 입장),마케팅디깅
FB-2025W-095,HFK-25W-027,2026-02-27,고급파전략,4,4,4,4,4,4,보통,7,마케팅디깅 팀 실무 인사이트 갖고 가는 게 많음,팀별 온도차가 있음. 팀 운에 좌우되는 부분 있음,상관없음
FB-2025W-096,HFK-25W-020,2026-02-15,마케팅디깅,4,4,5,4,4,4,매우높음,4,슬랙 채널이 살아있어서 좋음. 죽은 커뮤니티가 아님,파트너 승격 기준이 뭔지 아직도 모르겠음,고급파전략
FB-2025W-097,HFK-25W-147,2026-02-21,커리어피벗,3,4,3,5,5,3,높음,8,차박캠핑 새벽에 다같이 라면 먹은 거 명장면,온보딩이 좀 더 체계적이면 좋겠음 (신규 멤버 입장),상관없음
FB-2025W-098,HFK-25W-128,2026-02-21,영어토론,5,5,4,5,4,4,높음,5,같은 고민을 가진 사람들이 있다는 것만으로도 충분,정동이 회사에서 멀어서 평일 참석이 어려움,상관없음
FB-2025W-099,HFK-25W-092,2026-02-22,영어토론,4,5,4,5,5,4,매우높음,7,영어토론팀 덕분에 말문이 트임,주차 공간이 없어서 대중교통 필수인 점 아쉬움,북클럽클래식
FB-2025W-100,HFK-25W-150,2026-02-18,고급파전략,3,5,5,4,5,4,매우낮음,6,오프닝데이 에너지 진짜 좋았음,해외 필드트립 추가 비용이 부담스러움,북클럽클래식
FB-2025W-101,HFK-25W-045,2026-02-17,저스트,3,3,3,3,5,4,낮음,5,파트너 언니 덕분에 이직 성공했습니다,번개모임이 서울 중심이라 외곽 멤버는 참여 어려움,상관없음
FB-2025W-102,HFK-25W-045,2026-02-22,AI부사수,4,5,4,4,5,5,매우높음,7,북클럽클래식 팀장님이 요약을 너무 잘 해주셔서 책 안 읽어도 됨 ㅋㅋ,클로징데이 준비 시간이 너무 촉박했음,상관없음
FB-2025W-103,HFK-25W-083,2026-02-15,AI부사수,5,5,4,5,3,3,매우높음,6,마케팅디깅 팀 실무 인사이트 갖고 가는 게 많음,슬랙 알림이 너무 많아서 끄게 됨,북클럽클래식
FB-2025W-104,HFK-25W-083,2026-02-17,고급파전략,3,4,3,4,3,3,높음,9,차박캠핑 새벽에 다같이 라면 먹은 거 명장면,피드백이 실제로 반영되는지 모르겠음,저스트
FB-2025W-105,HFK-25W-151,2026-02-28,고급파전략,3,5,4,5,5,3,높음,9,마케팅디깅 팀 실무 인사이트 갖고 가는 게 많음,파트너 승격 기준이 뭔지 아직도 모르겠음,고급파전략
FB-2025W-106,HFK-25W-082,2026-02-27,저스트,3,4,4,4,4,4,높음,7,차박에서 재윤님이 텐트 못 치는거 봄 ㅋㅋ,시즌 중반 넘어가면 참여율이 뚝 떨어짐,상관없음
FB-2025W-107,HFK-25W-164,2026-02-26,북클럽클래식,4,4,4,5,4,4,매우높음,4,네트워킹 퀄리티가 다름. 다들 진짜 일 잘하는 사람들,앱이 없어서 슬랙 의존도가 너무 높음,영어토론
FB-2025W-108,HFK-25W-097,2026-02-20,커리어피벗,5,5,5,5,3,3,매우높음,6,재윤님이 갑자기 Claude한테 '우리 안 한거 뭐야' 물어봤을때 다같이 웃었음,겨울시즌은 연말이라 집중하기 어려운 시기,AI부사수
FB-2025W-109,HFK-25W-067,2026-02-16,마케팅디깅,3,5,4,5,5,3,높음,10,부부멤버가 팀 미팅에서 말다툼한 건 좀 ㅋㅋ,시즌 3개월이 짧게 느껴짐. 좀 더 길었으면,커리어피벗
FB-2025W-110,HFK-25W-168,2026-02-17,커리어피벗,4,4,4,4,4,3,보통,4,클로징데이 발표 보면서 내가 뭘 배웠는지 정리됨,겨울시즌은 연말이라 집중하기 어려운 시기,리더십랩
FB-2025W-111,HFK-25W-025,2026-02-15,커리어피벗,3,3,4,5,3,4,보통,6,정동 뷰가 미쳤음. 덕수궁 석양 보면서 HBR 읽는 맛,54만원 가성비를 증명하려면 콘텐츠 더 필요,고급파전략
FB-2025W-112,HFK-25W-075,2026-02-16,영어토론,4,4,3,4,5,3,높음,6,네트워킹 퀄리티가 다름. 다들 진짜 일 잘하는 사람들,피드백이 실제로 반영되는지 모르겠음,상관없음
FB-2025W-113,HFK-25W-095,2026-02-17,영어토론,5,4,4,5,4,3,보통,9,같은 고민을 가진 사람들이 있다는 것만으로도 충분,앱이 없어서 슬랙 의존도가 너무 높음,상관없음
FB-2025W-114,HFK-25W-151,2026-02-18,AI부사수,5,5,3,4,4,4,낮음,5,영어토론팀 덕분에 말문이 트임,겨울시즌은 연말이라 집중하기 어려운 시기,마케팅디깅
FB-2025W-115,HFK-25W-009,2026-02-23,고급파전략,5,5,5,5,5,3,매우높음,2,커리어피벗 덕분에 이직 방향 잡았음,54만원 가성비를 증명하려면 콘텐츠 더 필요,상관없음
FB-2025W-116,HFK-25W-161,2026-02-17,리더십랩,5,3,5,4,4,2,낮음,6,주 2회 미팅인데 부담 안 됨. 이 밸런스가 딱임,팀장 역량에 따라 시즌 퀄리티가 많이 갈림,상관없음
FB-2025W-117,HFK-25W-004,2026-02-27,커리어피벗,4,4,3,4,4,3,매우높음,7,같은 고민을 가진 사람들이 있다는 것만으로도 충분,피드백이 실제로 반영되는지 모르겠음,상관없음
FB-2025W-118,HFK-25W-068,2026-02-21,영어토론,3,3,3,5,5,2,높음,5,고급파전략 팀 케이스스터디 퀄이 진짜 높음,클로징데이 준비 시간이 너무 촉박했음,상관없음
FB-2025W-119,HFK-25W-013,2026-02-26,영어토론,5,3,5,4,4,4,높음,6,오프닝데이 에너지 진짜 좋았음,팀 배정이 1지망 반영 안 될 때 실망스러움,리더십랩
FB-2025W-120,HFK-25W-114,2026-02-27,북클럽클래식,4,4,5,4,4,4,보통,10,주 2회 미팅인데 부담 안 됨. 이 밸런스가 딱임,피드백이 실제로 반영되는지 모르겠음,상관없음
FB-2025W-121,HFK-25W-132,2026-02-27,고급파전략,5,5,3,5,3,3,매우높음,8,재윤님이 갑자기 Claude한테 '우리 안 한거 뭐야' 물어봤을때 다같이 웃었음,온보딩이 좀 더 체계적이면 좋겠음 (신규 멤버 입장),AI부사수
FB-2025W-122,HFK-25W-013,2026-02-20,저스트,4,4,5,3,4,4,높음,7,차박캠핑 새벽에 다같이 라면 먹은 거 명장면,팀장 역량에 따라 시즌 퀄리티가 많이 갈림,고급파전략
FB-2025W-123,HFK-25W-122,2026-02-24,북클럽클래식,3,5,4,5,4,4,매우높음,9,파트너 언니 덕분에 이직 성공했습니다,온보딩이 좀 더 체계적이면 좋겠음 (신규 멤버 입장),상관없음
FB-2025W-124,HFK-25W-053,2026-02-19,커리어피벗,3,2,4,5,4,3,매우높음,7,정동 뷰가 미쳤음. 덕수궁 석양 보면서 HBR 읽는 맛,온보딩이 좀 더 체계적이면 좋겠음 (신규 멤버 입장),저스트
FB-2025W-125,HFK-25W-079,2026-02-26,리더십랩,3,4,4,5,3,4,보통,6,주 2회 미팅인데 부담 안 됨. 이 밸런스가 딱임,피드백이 실제로 반영되는지 모르겠음,상관없음
FB-2025W-126,HFK-25W-153,2026-02-24,리더십랩,4,4,4,5,5,2,매우높음,4,부부멤버가 팀 미팅에서 말다툼한 건 좀 ㅋㅋ,겨울시즌은 연말이라 집중하기 어려운 시기,고급파전략
FB-2025W-127,HFK-25W-133,2026-02-27,저스트,5,3,4,3,3,2,보통,3,클로징데이 발표 보면서 내가 뭘 배웠는지 정리됨,앱이 없어서 슬랙 의존도가 너무 높음,커리어피벗
FB-2025W-128,HFK-25W-010,2026-02-24,저스트,2,3,5,4,3,1,높음,7,도쿄 필드트립 평생 잊을 수 없음,오프라인 행사 날짜가 직장인한테 좀 빡셈,상관없음
FB-2025W-129,HFK-25W-143,2026-02-17,리더십랩,4,4,4,5,4,3,보통,6,매 시즌 새로운 사람 만나는 게 최고 자산,온보딩이 좀 더 체계적이면 좋겠음 (신규 멤버 입장),상관없음
FB-2025W-130,HFK-25W-079,2026-02-21,북클럽클래식,4,3,5,4,4,5,높음,8,차박캠핑 새벽에 다같이 라면 먹은 거 명장면,시즌 중반 넘어가면 참여율이 뚝 떨어짐,영어토론
FB-2025W-131,HFK-25W-050,2026-02-23,마케팅디깅,5,3,4,5,4,3,매우높음,5,슬랙 채널이 살아있어서 좋음. 죽은 커뮤니티가 아님,팀 배정이 1지망 반영 안 될 때 실망스러움,리더십랩
FB-2025W-132,HFK-25W-047,2026-02-27,마케팅디깅,5,3,4,5,5,4,보통,7,네트워킹 퀄리티가 다름. 다들 진짜 일 잘하는 사람들,오프라인 행사 날짜가 직장인한테 좀 빡셈,영어토론
FB-2025W-133,HFK-25W-023,2026-02-17,커리어피벗,4,3,5,4,5,4,높음,8,주 2회 미팅인데 부담 안 됨. 이 밸런스가 딱임,54만원 가성비를 증명하려면 콘텐츠 더 필요,AI부사수
FB-2025W-134,HFK-25W-002,2026-02-25,저스트,4,4,5,4,4,3,매우높음,7,재윤님이 갑자기 Claude한테 '우리 안 한거 뭐야' 물어봤을때 다같이 웃었음,겨울시즌은 연말이라 집중하기 어려운 시기,상관없음
FB-2025W-135,HFK-25W-117,2026-02-26,북클럽클래식,3,5,5,5,3,3,매우높음,9,정동 뷰가 미쳤음. 덕수궁 석양 보면서 HBR 읽는 맛,온보딩이 좀 더 체계적이면 좋겠음 (신규 멤버 입장),저스트
FB-2025W-136,HFK-25W-034,2026-02-18,AI부사수,3,4,4,4,5,5,매우높음,8,같은 고민을 가진 사람들이 있다는 것만으로도 충분,파트너 승격 기준이 뭔지 아직도 모르겠음,상관없음
FB-2025W-137,HFK-25W-013,2026-02-25,마케팅디깅,4,4,4,4,3,4,높음,8,차박에서 재윤님이 텐트 못 치는거 봄 ㅋㅋ,팀 미팅 시간이 항상 저녁이라 육아하는 사람은 힘듦,리더십랩
FB-2025W-138,HFK-25W-026,2026-02-25,리더십랩,5,3,3,3,5,2,매우높음,7,팀원들이랑 밥 먹으러 가는게 이 커뮤니티의 핵심,번개모임이 서울 중심이라 외곽 멤버는 참여 어려움,저스트
FB-2025W-139,HFK-25W-052,2026-02-27,리더십랩,5,2,3,5,5,4,낮음,6,오프닝데이 에너지 진짜 좋았음,클로징데이 때 다음 시즌 할인 같은 혜택이 있으면 좋겠음,AI부사수
FB-2025W-140,HFK-25W-023,2026-02-16,영어토론,3,4,4,3,4,4,매우높음,8,도쿄 필드트립 평생 잊을 수 없음,팀별 온도차가 있음. 팀 운에 좌우되는 부분 있음,영어토론
FB-2025W-141,HFK-25W-026,2026-02-28,고급파전략,5,3,3,5,4,4,낮음,7,북클럽클래식 팀장님이 요약을 너무 잘 해주셔서 책 안 읽어도 됨 ㅋㅋ,오프라인 행사 날짜가 직장인한테 좀 빡셈,리더십랩
FB-2025W-142,HFK-25W-113,2026-02-24,리더십랩,4,4,4,4,4,2,매우높음,9,고급파전략 팀 케이스스터디 퀄이 진짜 높음,번개모임이 서울 중심이라 외곽 멤버는 참여 어려움,상관없음
FB-2025W-143,HFK-25W-167,2026-02-27,고급파전략,5,5,5,5,4,4,높음,8,네트워킹 퀄리티가 다름. 다들 진짜 일 잘하는 사람들,해외 필드트립 추가 비용이 부담스러움,상관없음
FB-2025W-144,HFK-25W-157,2026-02-15,고급파전략,3,3,4,5,3,5,매우높음,8,정동 오아시스 공간 자체가 선물,주차 공간이 없어서 대중교통 필수인 점 아쉬움,상관없음
FB-2025W-145,HFK-25W-148,2026-02-26,저스트,5,4,3,5,4,3,보통,7,정동 오아시스 공간 자체가 선물,해외 필드트립 추가 비용이 부담스러움,고급파전략
FB-2025W-146,HFK-25W-143,2026-02-24,AI부사수,5,5,4,4,4,3,보통,7,AI팀인데 GPT vs Claude 논쟁이 3시간 걸린 날이 있었음,온보딩이 좀 더 체계적이면 좋겠음 (신규 멤버 입장),북클럽클래식
FB-2025W-147,HFK-25W-072,2026-02-15,저스트,3,4,4,4,3,4,매우높음,5,영어토론팀 덕분에 말문이 트임,네트워킹 시간이 더 길었으면 좋겠음,마케팅디깅
FB-2025W-148,HFK-25W-106,2026-02-15,AI부사수,4,5,2,5,4,4,보통,5,슬랙 채널이 살아있어서 좋음. 죽은 커뮤니티가 아님,클로징데이 준비 시간이 너무 촉박했음,북클럽클래식
FB-2025W-149,HFK-25W-014,2026-02-28,저스트,5,3,4,3,4,3,높음,9,정동 뷰가 미쳤음. 덕수궁 석양 보면서 HBR 읽는 맛,클로징데이 준비 시간이 너무 촉박했음,북클럽클래식
FB-2025W-150,HFK-25W-163,2026-02-27,리더십랩,5,3,4,5,5,2,보통,7,커리어피벗 덕분에 이직 방향 잡았음,슬랙 알림이 너무 많아서 끄게 됨,저스트
FB-2025W-151,HFK-25W-051,2026-02-18,마케팅디깅,5,4,2,5,4,3,높음,10,마케팅디깅 팀 실무 인사이트 갖고 가는 게 많음,슬랙 알림이 너무 많아서 끄게 됨,상관없음
FB-2025W-152,HFK-25W-116,2026-02-22,고급파전략,3,4,4,4,3,2,낮음,8,네트워킹 퀄리티가 다름. 다들 진짜 일 잘하는 사람들,오프라인 행사 날짜가 직장인한테 좀 빡셈,상관없음
FB-2025W-153,HFK-25W-033,2026-02-16,커리어피벗,4,3,3,5,3,4,보통,7,AI팀인데 GPT vs Claude 논쟁이 3시간 걸린 날이 있었음,겨울시즌은 연말이라 집중하기 어려운 시기,커리어피벗
FB-2025W-154,HFK-25W-035,2026-02-17,커리어피벗,5,2,3,3,4,3,보통,6,같은 고민을 가진 사람들이 있다는 것만으로도 충분,54만원 가성비를 증명하려면 콘텐츠 더 필요,저스트
FB-2025W-155,HFK-25W-160,2026-02-26,리더십랩,3,2,5,5,4,3,높음,5,매 시즌 새로운 사람 만나는 게 최고 자산,번개모임이 서울 중심이라 외곽 멤버는 참여 어려움,상관없음
FB-2025W-156,HFK-25W-107,2026-02-25,리더십랩,3,5,3,5,4,3,매우높음,7,클로징데이 발표 보면서 내가 뭘 배웠는지 정리됨,오프라인 행사 날짜가 직장인한테 좀 빡셈,상관없음
FB-2025W-157,HFK-25W-065,2026-02-17,AI부사수,4,3,4,4,4,3,낮음,6,차박에서 재윤님이 텐트 못 치는거 봄 ㅋㅋ,해외 필드트립 추가 비용이 부담스러움,저스트
FB-2025W-158,HFK-25W-074,2026-02-26,AI부사수,3,5,4,5,3,3,매우높음,9,클로징데이 발표 보면서 내가 뭘 배웠는지 정리됨,54만원 가성비를 증명하려면 콘텐츠 더 필요,상관없음
FB-2025W-159,HFK-25W-114,2026-02-28,저스트,5,3,3,3,3,3,보통,8,네트워킹 퀄리티가 다름. 다들 진짜 일 잘하는 사람들,시즌 중반 넘어가면 참여율이 뚝 떨어짐,고급파전략
FB-2025W-160,HFK-25W-045,2026-02-26,마케팅디깅,4,3,5,4,4,3,높음,6,부부멤버가 팀 미팅에서 말다툼한 건 좀 ㅋㅋ,팀 배정이 1지망 반영 안 될 때 실망스러움,AI부사수
FB-2025W-161,HFK-25W-083,2026-02-24,AI부사수,4,3,4,4,4,2,매우높음,6,네트워킹 퀄리티가 다름. 다들 진짜 일 잘하는 사람들,주차 공간이 없어서 대중교통 필수인 점 아쉬움,마케팅디깅
FB-2025W-162,HFK-25W-130,2026-02-17,커리어피벗,3,3,4,3,5,3,매우높음,5,차박캠핑 새벽에 다같이 라면 먹은 거 명장면,주차 공간이 없어서 대중교통 필수인 점 아쉬움,영어토론
FB-2025W-163,HFK-25W-144,2026-02-28,AI부사수,5,5,4,5,5,3,매우높음,8,팀원들이랑 밥 먹으러 가는게 이 커뮤니티의 핵심,해외 필드트립 추가 비용이 부담스러움,저스트
FB-2025W-164,HFK-25W-073,2026-02-15,북클럽클래식,4,3,4,4,4,3,매우높음,5,팀원들이랑 밥 먹으러 가는게 이 커뮤니티의 핵심,오프라인 행사 날짜가 직장인한테 좀 빡셈,상관없음
FB-2025W-165,HFK-25W-138,2026-02-23,AI부사수,4,4,3,4,3,2,매우높음,8,커리어피벗 덕분에 이직 방향 잡았음,시즌 중반 넘어가면 참여율이 뚝 떨어짐,상관없음
