order_line_id,project_id,sku,item_name,category,unit,list_price_krw,discount_pct,negotiated_unit_price_krw,quantity,line_total_krw,order_status,order_date,delivery_date,vendor
ORD-0001,SGC-2601-001,TR-001,소나무(반송)_특수목,교목,주,2400000,0,2400000,3,7200000,납품완료,2026-02-22,2026-02-27,헌인릉농장
ORD-0002,SGC-2601-001,TR-003,적송_정원수,교목,주,1650000,0,1650000,2,3300000,납품완료,2026-03-02,2026-03-17,헌인릉농장
ORD-0003,SGC-2601-001,TR-004,단풍나무_청단풍,교목,주,320000,3,310400,5,1552000,납품완료,2026-02-11,2026-03-03,헌인릉농장
ORD-0004,SGC-2601-001,SH-002,남천,관목,주,12000,8,11040,60,662400,납품완료,2026-02-23,2026-03-06,헌인릉농장
ORD-0005,SGC-2601-001,SH-003,수국_목수국,관목,주,18000,3,17460,35,611100,납품완료,2026-03-01,2026-03-01,헌인릉농장
ORD-0006,SGC-2601-001,PE-001,맥문동,초화류,본,1800,3,1746,280,488880,납품완료,2026-02-21,2026-03-08,헌인릉농장
ORD-0007,SGC-2601-001,PE-002,이끼류_스카게_고사,초화류,㎡,45000,3,43650,22,960300,납품완료,2026-02-10,2026-03-18,전문원예
ORD-0008,SGC-2601-001,PE-004,라벤더_프로방스,초화류,본,4500,0,4500,90,405000,납품완료,2026-03-02,2026-03-11,전문원예
ORD-0009,SGC-2601-001,MA-001,화강석_판석_마천석_30T,자재,㎡,95000,0,95000,35,3325000,납품완료,2026-02-13,2026-02-21,석재유통
ORD-0010,SGC-2601-001,MA-002,마사토_중립,자재,루베,52000,8,47840,8,382720,납품완료,2026-02-20,2026-03-19,골재유통
ORD-0011,SGC-2601-001,MA-003,부엽토_유기질토,자재,루베,68000,0,68000,5,340000,납품완료,2026-02-22,2026-03-21,골재유통
ORD-0012,SGC-2601-001,MA-005,자연석_강돌_중형,자재,톤,180000,0,180000,3.5,630000,납품완료,2026-02-27,2026-03-19,석재유통
ORD-0013,SGC-2602-002,TR-004,단풍나무_청단풍,교목,주,320000,5,304000,3,912000,발주완료_입고_대기,2026-03-28,,헌인릉농장
ORD-0014,SGC-2602-002,TR-006,배롱나무,교목,주,280000,0,280000,4,1120000,발주완료_입고_대기,2026-03-27,,헌인릉농장
ORD-0015,SGC-2602-002,TR-010,자작나무_중목,교목,주,240000,0,240000,3,720000,발주완료_입고_대기,2026-04-02,,일반조경유통
ORD-0016,SGC-2602-002,SH-001,회양목_둥근형,관목,주,8500,3,8245,45,371025,발주완료_입고_대기,2026-04-10,,헌인릉농장
ORD-0017,SGC-2602-002,SH-003,수국_목수국,관목,주,18000,0,18000,20,360000,발주완료_입고_대기,2026-04-07,,헌인릉농장
ORD-0018,SGC-2602-002,PE-001,맥문동,초화류,본,1800,0,1800,150,270000,발주완료_입고_대기,2026-04-01,,헌인릉농장
ORD-0019,SGC-2602-002,PE-010,호스타_블루,초화류,본,6500,3,6305,35,220675,발주완료_입고_대기,2026-04-05,,전문원예
ORD-0020,SGC-2602-002,PE-008,억새_핑크뮬리,초화류,주,8500,0,8500,28,238000,발주완료_입고_대기,2026-04-07,,전문원예
ORD-0021,SGC-2602-002,MA-004,목재데크_방부목_30T,자재,㎡,135000,0,135000,40,5400000,발주완료_입고_대기,2026-04-06,,목재유통
ORD-0022,SGC-2602-002,MA-002,마사토_중립,자재,루베,52000,5,49400,3,148200,발주완료_입고_대기,2026-04-05,,골재유통
ORD-0023,SGC-2602-002,MA-006,우드칩_멀칭용,자재,포,18000,0,18000,15,270000,발주완료_입고_대기,2026-04-06,,골재유통
ORD-0024,SGC-2603-003,TR-004,단풍나무_청단풍,교목,주,320000,0,320000,2,640000,견적단계,,,헌인릉농장
ORD-0025,SGC-2603-003,IN-001,몬스테라_델리시오사,실내,분,120000,0,120000,12,1440000,견적단계,,,오피스플랜츠
ORD-0026,SGC-2603-003,IN-002,알로카시아_폴리,실내,분,85000,0,85000,18,1530000,견적단계,,,오피스플랜츠
ORD-0027,SGC-2603-003,IN-003,유칼립투스_폴리안,실내,분,45000,0,45000,25,1125000,견적단계,,,오피스플랜츠
ORD-0028,SGC-2603-003,PE-003,수호초,초화류,본,2200,0,2200,320,704000,견적단계,,,헌인릉농장
ORD-0029,SGC-2603-003,PE-010,호스타_블루,초화류,본,6500,0,6500,80,520000,견적단계,,,전문원예
ORD-0030,SGC-2603-003,MA-007,조경용_배수판,자재,㎡,22000,8,20240,220,4452800,견적단계,,,자재유통
ORD-0031,SGC-2603-003,MA-003,부엽토_유기질토,자재,루베,68000,8,62560,8,500480,견적단계,,,골재유통
ORD-0032,SGC-2603-003,SH-002,남천,관목,주,12000,0,12000,45,540000,견적단계,,,헌인릉농장
ORD-0033,SGC-2604-004,TR-010,자작나무_중목,교목,주,240000,0,240000,5,1200000,발주완료_입고_대기,2026-03-29,,일반조경유통
ORD-0034,SGC-2604-004,TR-006,배롱나무,교목,주,280000,0,280000,3,840000,발주완료_입고_대기,2026-04-03,,헌인릉농장
ORD-0035,SGC-2604-004,SH-007,조팝나무,관목,주,13000,3,12610,25,315250,발주완료_입고_대기,2026-03-29,,일반조경유통
ORD-0036,SGC-2604-004,PE-004,라벤더_프로방스,초화류,본,4500,8,4140,60,248400,발주완료_입고_대기,2026-04-09,,전문원예
ORD-0037,SGC-2604-004,PE-005,에키네시아,초화류,본,3800,3,3686,45,165870,발주완료_입고_대기,2026-03-25,,전문원예
ORD-0038,SGC-2604-004,PE-008,억새_핑크뮬리,초화류,주,8500,0,8500,18,153000,발주완료_입고_대기,2026-03-25,,전문원예
ORD-0039,SGC-2604-004,PE-009,수크령_퍼플팜파스,초화류,주,12000,0,12000,12,144000,발주완료_입고_대기,2026-03-31,,전문원예
ORD-0040,SGC-2604-004,MA-004,목재데크_방부목_30T,자재,㎡,135000,0,135000,55,7425000,발주완료_입고_대기,2026-04-11,,목재유통
ORD-0041,SGC-2604-004,MA-006,우드칩_멀칭용,자재,포,18000,8,16560,28,463680,발주완료_입고_대기,2026-04-10,,골재유통
ORD-0042,SGC-2604-005,TR-005,단풍나무_홍단풍,교목,주,420000,3,407400,4,1629600,견적단계,,,헌인릉농장
ORD-0043,SGC-2604-005,TR-008,느티나무,교목,주,520000,0,520000,3,1560000,견적단계,,,일반조경유통
ORD-0044,SGC-2604-005,SH-001,회양목_둥근형,관목,주,8500,0,8500,80,680000,견적단계,,,헌인릉농장
ORD-0045,SGC-2604-005,SH-006,사철나무,관목,주,15000,0,15000,35,525000,견적단계,,,일반조경유통
ORD-0046,SGC-2604-005,PE-001,맥문동,초화류,본,1800,0,1800,220,396000,견적단계,,,헌인릉농장
ORD-0047,SGC-2604-005,PE-007,살비아_네모로사,초화류,본,3200,0,3200,80,256000,견적단계,,,일반원예
ORD-0048,SGC-2604-005,MA-001,화강석_판석_마천석_30T,자재,㎡,95000,0,95000,28,2660000,견적단계,,,석재유통
ORD-0049,SGC-2604-005,MA-005,자연석_강돌_중형,자재,톤,180000,0,180000,2.5,450000,견적단계,,,석재유통
ORD-0050,SGC-2604-007,IN-001,몬스테라_델리시오사,실내,분,120000,3,116400,8,931200,발주완료_입고_대기,2026-04-08,,오피스플랜츠
ORD-0051,SGC-2604-007,IN-002,알로카시아_폴리,실내,분,85000,0,85000,12,1020000,발주완료_입고_대기,2026-03-28,,오피스플랜츠
ORD-0052,SGC-2604-007,IN-003,유칼립투스_폴리안,실내,분,45000,3,43650,18,785700,발주완료_입고_대기,2026-04-11,,오피스플랜츠
ORD-0053,SGC-2604-007,PE-010,호스타_블루,초화류,본,6500,0,6500,25,162500,발주완료_입고_대기,2026-04-10,,전문원예
ORD-0054,SGC-2604-009,TR-007,이팝나무,교목,주,380000,5,361000,3,1083000,견적단계,,,일반조경유통
ORD-0055,SGC-2604-009,TR-010,자작나무_중목,교목,주,240000,0,240000,4,960000,견적단계,,,일반조경유통
ORD-0056,SGC-2604-009,SH-008,명자나무,관목,주,14500,8,13340,28,373520,견적단계,,,일반조경유통
ORD-0057,SGC-2604-009,PE-005,에키네시아,초화류,본,3800,0,3800,55,209000,견적단계,,,전문원예
ORD-0058,SGC-2604-009,PE-008,억새_핑크뮬리,초화류,주,8500,0,8500,22,187000,견적단계,,,전문원예
ORD-0059,SGC-2604-009,PE-009,수크령_퍼플팜파스,초화류,주,12000,3,11640,15,174600,견적단계,,,전문원예
ORD-0060,SGC-2604-009,MA-004,목재데크_방부목_30T,자재,㎡,135000,0,135000,32,4320000,견적단계,,,목재유통
ORD-0061,SGC-2604-009,MA-008,투수블록_점토계,자재,㎡,48000,5,45600,18,820800,견적단계,,,자재유통
ORD-0062,SGC-2604-010,SH-003,수국_목수국,관목,주,18000,0,18000,8,144000,발주_예정,,,헌인릉농장
ORD-0063,SGC-2604-010,PE-004,라벤더_프로방스,초화류,본,4500,0,4500,30,135000,발주_예정,,,전문원예
ORD-0064,SGC-2604-010,PE-005,에키네시아,초화류,본,3800,5,3610,20,72200,발주_예정,,,전문원예
ORD-0065,SGC-2604-010,PE-007,살비아_네모로사,초화류,본,3200,3,3104,25,77600,발주_예정,,,일반원예
ORD-0066,SGC-2604-010,MA-006,우드칩_멀칭용,자재,포,18000,0,18000,8,144000,발주_예정,,,골재유통
