콘텐츠ID,게시일,콘텐츠유형,제목,주제카테고리,제작자,광고여부,광고비,도달수,좋아요,댓글,저장,공유,링크클릭,프로필방문,자사몰유입,주문건수,주문금액
IG-260119-01,2026-01-19,릴스,Happier Label 미니 파우치 신색상 출시,신제품 출시,썸머,오가닉,0,27222,3093,271,414,171,125,487,71,3,68133
IG-260101-02,2026-01-01,단일이미지,A5 vs B5 어떤 노트가 나에게 맞을까,제품 비교,소니,오가닉,0,4545,387,49,89,42,30,24,23,1,19232
IG-260220-03,2026-02-20,릴스,봄 데스크 세팅 with MNNS,제품 스타일링,소니,광고,150000,63866,3895,118,405,322,162,906,103,4,55036
IG-260314-04,2026-03-14,릴스,봄 데스크 세팅 with MNNS,제품 스타일링,썸머,오가닉,0,15760,850,68,306,198,42,287,24,1,22354
IG-260204-05,2026-02-04,릴스,제주맥주 x 오롤리데이 코스터,콜라보 소식,롤리,오가닉,0,14548,689,135,258,185,29,246,23,0,0
IG-260204-06,2026-02-04,캐러셀,팔로워 감사 이벤트,이벤트,롤리,오가닉,0,9489,931,117,401,132,54,169,29,2,24892
IG-260105-07,2026-01-05,스토리하이라이트,PART PART 노트 제작기,디자인 과정,에이미,광고,30000,18220,0,0,0,72,288,214,202,9,175230
IG-260224-08,2026-02-24,캐러셀,오롤리데이 팀원 소개,팀 소개,썸머,오가닉,0,11721,642,156,690,266,101,146,52,1,30267
IG-260111-09,2026-01-11,스토리하이라이트,해피어마트 연남 방문기,매장 소개,소니,오가닉,0,4764,0,0,0,119,276,52,157,6,144234
IG-260224-10,2026-02-24,릴스,발렌타인 기프트 추천,시즌 캠페인,롤리,오가닉,0,13026,637,124,95,150,36,215,25,1,34353
IG-260303-11,2026-03-03,캐러셀,A5 vs B5 어떤 노트가 나에게 맞을까,제품 비교,소니,광고,200000,29309,2140,82,302,217,322,371,174,3,89367
IG-260320-12,2026-03-20,단일이미지,발렌타인 기프트 추천,시즌 캠페인,소니,오가닉,0,2341,188,22,32,20,23,34,14,0,0
IG-260311-13,2026-03-11,단일이미지,A5 vs B5 어떤 노트가 나에게 맞을까,제품 비교,소니,오가닉,0,4503,274,48,122,57,36,45,20,0,0
IG-260327-14,2026-03-27,캐러셀,봄 데스크 세팅 with MNNS,제품 스타일링,소니,광고,200000,28440,1015,141,440,115,154,351,89,5,77555
IG-260225-15,2026-02-25,스토리하이라이트,선물포장 과정 ASMR,패키징,조이,오가닉,0,4242,0,0,0,69,194,52,152,7,142590
IG-260326-16,2026-03-26,캐러셀,2026 문구 트렌드,트렌드,조이,오가닉,0,9972,1484,128,509,276,126,181,100,4,65412
IG-260127-17,2026-01-27,캐러셀,봄 데스크 세팅 with MNNS,제품 스타일링,조이,오가닉,0,7158,627,39,168,175,78,148,39,1,18675
IG-260219-18,2026-02-19,캐러셀,팔로워 감사 이벤트,이벤트,썸머,광고,50000,26655,858,115,178,84,232,238,140,3,92826
IG-260105-19,2026-01-05,릴스,해피어마트 성수 오픈 비하인드,작업실 투어,조이,오가닉,0,15665,645,60,287,50,59,169,26,1,28643
IG-260228-20,2026-02-28,캐러셀,오롤리데이 팀원 소개,팀 소개,조이,오가닉,0,14087,1381,152,288,164,112,201,57,4,78832
IG-260111-21,2026-01-11,캐러셀,도쿄 문구박람회 현장,해외 전시,에이미,오가닉,0,4393,478,71,226,68,56,92,25,0,0
IG-260311-22,2026-03-11,단일이미지,오롤리데이 팀원 소개,팀 소개,소니,광고,100000,10177,261,13,71,14,47,56,25,1,22859
IG-260214-23,2026-02-14,캐러셀,A5 vs B5 어떤 노트가 나에게 맞을까,제품 비교,롤리,오가닉,0,13951,1241,125,320,392,124,199,84,5,96830
IG-260115-24,2026-01-15,캐러셀,롤리의 작업실 하루,일상 브이로그,썸머,광고,200000,33563,1700,179,416,242,213,288,97,5,152970
IG-260213-25,2026-02-13,캐러셀,오롤리데이 팀원 소개,팀 소개,소니,오가닉,0,3252,334,42,137,66,36,32,24,1,32131
IG-260126-26,2026-01-26,캐러셀,봄 데스크 세팅 with MNNS,제품 스타일링,썸머,광고,30000,20268,1635,55,341,156,280,198,207,11,340087
IG-260313-27,2026-03-13,릴스,롤리의 작업실 하루,일상 브이로그,에이미,오가닉,0,44260,4797,357,872,436,209,845,113,5,79295
IG-260223-28,2026-02-23,릴스,선물포장 과정 ASMR,패키징,썸머,오가닉,0,17041,1347,86,132,66,53,288,24,0,0
IG-260205-29,2026-02-05,캐러셀,봄 데스크 세팅 with MNNS,제품 스타일링,소니,오가닉,0,5665,363,108,189,123,53,123,40,1,24007
IG-260127-30,2026-01-27,캐러셀,도쿄 문구박람회 현장,해외 전시,조이,오가닉,0,7811,681,136,170,146,78,62,35,2,56566
IG-260301-31,2026-03-01,스토리하이라이트,Happier Label 미니 파우치 신색상 출시,신제품 출시,소니,오가닉,0,1759,0,0,0,39,50,42,25,0,0
IG-260309-32,2026-03-09,단일이미지,실제 사용자 후기 모음,고객 리뷰,소니,광고,150000,10504,678,38,76,47,84,43,56,3,59628
IG-260303-33,2026-03-03,캐러셀,A5 vs B5 어떤 노트가 나에게 맞을까,제품 비교,소니,오가닉,0,11884,1692,201,415,233,66,166,44,3,44991
IG-260201-34,2026-02-01,캐러셀,해피어마트 성수 오픈 비하인드,작업실 투어,소니,오가닉,0,10599,1468,70,558,124,72,99,50,1,26437
IG-260207-35,2026-02-07,릴스,실제 사용자 후기 모음,고객 리뷰,썸머,오가닉,0,12645,1324,85,192,38,37,235,24,1,30808
IG-260211-36,2026-02-11,단일이미지,발렌타인 기프트 추천,시즌 캠페인,롤리,오가닉,0,7290,519,59,141,79,51,99,23,0,0
IG-260314-37,2026-03-14,단일이미지,롤리의 작업실 하루,일상 브이로그,소니,광고,30000,14735,1345,54,91,69,105,211,69,3,103299
IG-260210-38,2026-02-10,릴스,A5 vs B5 어떤 노트가 나에게 맞을까,제품 비교,에이미,오가닉,0,31589,2370,195,575,186,141,229,79,2,59760
IG-260315-39,2026-03-15,릴스,팔로워 감사 이벤트,이벤트,롤리,오가닉,0,22354,2664,222,410,316,67,295,35,1,32664
IG-260105-40,2026-01-05,캐러셀,해피어마트 연남 방문기,매장 소개,소니,오가닉,0,8472,468,146,483,204,75,132,32,2,34450
IG-260127-41,2026-01-27,릴스,Happier Label 미니 파우치 신색상 출시,신제품 출시,소니,광고,200000,95725,7308,400,428,152,444,1043,259,13,321230
IG-260301-42,2026-03-01,릴스,오롤리데이 팀원 소개,팀 소개,조이,오가닉,0,27328,2632,151,296,307,46,396,29,2,44652
IG-260323-43,2026-03-23,스토리하이라이트,도쿄 문구박람회 현장,해외 전시,롤리,광고,100000,7942,0,0,0,66,250,125,101,7,244475
IG-260104-44,2026-01-04,캐러셀,해피어마트 성수 오픈 비하인드,작업실 투어,소니,오가닉,0,14787,2115,275,500,383,175,266,132,5,131770
IG-260316-45,2026-03-16,릴스,실제 사용자 후기 모음,고객 리뷰,소니,오가닉,0,20534,2208,117,272,290,78,284,32,1,14154
IG-260310-46,2026-03-10,스토리하이라이트,2026 문구 트렌드,트렌드,소니,오가닉,0,2385,0,0,0,70,121,24,76,1,23410
IG-260107-47,2026-01-07,캐러셀,팔로워 감사 이벤트,이벤트,썸머,오가닉,0,13020,1560,213,293,271,146,305,116,4,128656
IG-260118-48,2026-01-18,캐러셀,오롤리데이 팀원 소개,팀 소개,썸머,오가닉,0,6991,985,106,235,76,62,59,36,2,24854
IG-260214-49,2026-02-14,스토리하이라이트,A5 vs B5 어떤 노트가 나에게 맞을까,제품 비교,롤리,오가닉,0,4876,0,0,0,102,111,86,56,3,59751
IG-260223-50,2026-02-23,단일이미지,선물포장 과정 ASMR,패키징,썸머,광고,30000,10539,692,30,59,40,94,77,50,1,17265
