billing_id,detected_date,issue_type,account_type,country,amount_usd,crm_owner,contractor_id_link,status,priority,awaiting_owner_response,resolved_date,resolution_days,finance_reviewed,draft_time_minutes,draft_revisions_count,days_open
BILL-2601-0001,2026-01-20,Duplicate invoice,Contractor,TW,7829,Wei Chen,CTR-0029,Resolved,High,N,2026-02-15,26,Y,15,3,85
BILL-2601-0002,2026-01-17,Missing tax ID,B2B Enterprise,KR,44289,Priya Shah,,Resolved,High,N,2026-01-26,9,Y,20,1,88
BILL-2601-0003,2026-01-09,Missing billing contact,Contractor,US,2711,Sunjae Lee,CTR-0026,Awaiting owner,Medium,N,,,N,30,2,96
BILL-2601-0004,2026-01-10,FX rate unclear,Contractor,US,6502,Marcus Johnson,,Awaiting owner,Medium,N,,,N,25,4,95
BILL-2601-0005,2026-01-13,Currency discrepancy,B2B Enterprise,US,34803,Wei Chen,,Resolved,High,N,2026-01-23,10,Y,25,1,92
BILL-2601-0006,2026-01-26,Closed Won without contract,B2B SMB,JP,1458,Marcus Johnson,,Resolved,High,N,2026-02-05,10,Y,40,2,79
BILL-2601-0007,2026-01-25,FX rate unclear,B2B SMB,JP,4461,陳冠宇,,Resolved,Medium,N,2026-02-06,12,Y,30,3,80
BILL-2601-0008,2026-01-21,Missing invoice,B2B SMB,JP,3634,Minho Kim,,Awaiting owner,Medium,N,,,N,30,1,84
BILL-2601-0009,2026-01-01,Late payment (30+ days),B2B SMB,JP,4888,Jin Park,,Awaiting owner,Medium,N,,,N,20,1,104
BILL-2601-0010,2026-01-06,Pro-rata calculation needed,Contractor,JP,6542,Minho Kim,,Resolved,Medium,N,2026-01-19,13,Y,20,3,99
BILL-2601-0011,2026-01-07,Pro-rata calculation needed,Vendor,KR,13076,Jin Park,,Resolved,Medium,N,2026-01-16,9,Y,20,1,98
BILL-2601-0012,2026-01-04,Missing billing contact,Vendor,JP,13762,陳冠宇,,Resolved,Medium,N,2026-01-08,4,Y,30,3,101
BILL-2601-0013,2026-01-20,Missing tax ID,Internal,SG,1720,Priya Shah,,Resolved,Medium,N,2026-02-19,30,Y,40,2,85
BILL-2601-0014,2026-01-05,Missing tax ID,B2B Enterprise,KR,42792,Haruto Saito,,Resolved,High,N,2026-02-01,27,Y,25,2,100
BILL-2601-0015,2026-01-15,Missing tax ID,B2B Enterprise,SG,16455,Marcus Johnson,,Escalated,Medium,N,,,N,25,2,90
BILL-2601-0016,2026-01-11,Missing invoice,Contractor,JP,2825,Jin Park,CTR-0017,Resolved,Medium,N,2026-02-09,29,Y,20,2,94
BILL-2601-0017,2026-01-07,Rate change not reflected,B2B Enterprise,KR,32783,Sunjae Lee,,Resolved,High,N,2026-02-02,26,Y,25,2,98
BILL-2601-0018,2026-01-22,Contractor rate mismatch,B2B Enterprise,KR,42741,Jin Park,,Resolved,High,N,2026-01-27,5,Y,40,2,83
BILL-2601-0019,2026-01-16,Duplicate invoice,B2B Enterprise,SG,14800,Wei Chen,,Awaiting owner,High,N,,,N,25,1,89
BILL-2601-0020,2026-01-10,Pro-rata calculation needed,B2B SMB,HK,4486,Priya Shah,,Resolved,Medium,N,2026-02-08,29,Y,15,1,95
BILL-2601-0021,2026-01-27,Amount mismatch (CRM vs invoice),B2B Enterprise,SG,36230,Sunjae Lee,,Resolved,High,N,2026-02-12,16,Y,20,2,78
BILL-2601-0022,2026-01-14,Missing tax ID,Vendor,JP,1324,Priya Shah,,Resolved,Medium,N,2026-02-12,29,Y,20,2,91
BILL-2601-0023,2026-01-12,Pro-rata calculation needed,B2B SMB,US,2831,陳冠宇,,Resolved,Medium,N,2026-01-30,18,Y,40,2,93
BILL-2601-0024,2026-01-28,Closed Won without contract,B2B SMB,JP,1686,Sunjae Lee,,Resolved,High,N,2026-02-24,27,Y,25,2,77
BILL-2601-0025,2026-01-11,Duplicate invoice,Vendor,KR,3654,Jin Park,,Resolved,High,N,2026-01-23,12,Y,30,2,94
BILL-2601-0026,2026-01-24,Duplicate invoice,B2B Enterprise,JP,28800,Haruto Saito,,Resolved,High,N,2026-02-09,16,Y,20,3,81
BILL-2601-0027,2026-01-24,Amount mismatch (CRM vs invoice),Contractor,TW,7740,Haruto Saito,CTR-0005,Resolved,Medium,N,2026-01-31,7,Y,60,2,81
BILL-2601-0028,2026-01-04,Missing invoice,B2B Enterprise,JP,10455,Yuki Tanaka,,Resolved,Medium,N,2026-01-10,6,Y,30,3,101
BILL-2601-0029,2026-01-21,Currency discrepancy,B2B Enterprise,HK,34042,Wei Chen,,Resolved,High,N,2026-02-08,18,Y,15,2,84
BILL-2601-0030,2026-01-09,Late payment (30+ days),Vendor,JP,9856,Marcus Johnson,,Resolved,Medium,N,2026-01-15,6,Y,20,2,96
BILL-2601-0031,2026-01-17,Pro-rata calculation needed,Contractor,SG,5563,Jin Park,,Resolved,Medium,N,2026-02-05,19,Y,25,1,88
BILL-2601-0032,2026-01-05,Closed Won without contract,B2B SMB,JP,2628,Marcus Johnson,,Resolved,High,N,2026-01-07,2,Y,40,3,100
BILL-2601-0033,2026-01-25,Late payment (30+ days),B2B Enterprise,TW,37239,Haruto Saito,,Resolved,High,N,2026-01-27,2,Y,40,2,80
BILL-2601-0034,2026-01-13,Missing invoice,B2B SMB,KR,4080,Haruto Saito,,Resolved,Medium,N,2026-02-06,24,Y,40,1,92
BILL-2601-0035,2026-01-10,Closed Won without contract,B2B SMB,KR,2727,Jin Park,,Resolved,High,N,2026-01-29,19,Y,25,3,95
BILL-2601-0036,2026-01-20,Amount mismatch (CRM vs invoice),B2B Enterprise,KR,34841,Priya Shah,,Resolved,High,N,2026-02-13,24,Y,25,1,85
BILL-2601-0037,2026-01-04,Amount mismatch (CRM vs invoice),B2B Enterprise,TW,17185,陳冠宇,,Resolved,Medium,N,2026-01-10,6,Y,30,1,101
BILL-2601-0038,2026-01-10,Amount mismatch (CRM vs invoice),B2B Enterprise,KR,32541,陳冠宇,,Awaiting owner,High,N,,,N,90,2,95
BILL-2601-0039,2026-01-02,Missing invoice,B2B Enterprise,SG,14574,Yuki Tanaka,,Resolved,Medium,N,2026-01-16,14,Y,25,1,103
BILL-2601-0040,2026-01-25,Currency discrepancy,Vendor,SG,2998,Haruto Saito,,Awaiting owner,Medium,N,,,N,40,2,80
BILL-2601-0041,2026-01-17,FX rate unclear,Internal,KR,584,陳冠宇,,Resolved,Medium,N,2026-01-25,8,Y,25,4,88
BILL-2601-0042,2026-01-17,Late payment (30+ days),B2B Enterprise,HK,41017,Jin Park,,Resolved,High,N,2026-02-03,17,Y,20,3,88
BILL-2602-0043,2026-02-06,Closed Won without contract,B2B Enterprise,JP,5987,Priya Shah,,Awaiting owner,High,N,,,N,20,3,68
BILL-2602-0044,2026-02-23,Missing invoice,Internal,TW,2146,Yuki Tanaka,,Resolved,Medium,N,2026-03-08,13,Y,20,2,51
BILL-2602-0045,2026-02-02,Pro-rata calculation needed,Contractor,US,7121,Wei Chen,,Resolved,Medium,N,2026-02-24,22,Y,40,1,72
BILL-2602-0046,2026-02-25,Missing billing contact,B2B Enterprise,TW,47247,陳冠宇,,Resolved,High,N,2026-03-27,30,Y,30,1,49
BILL-2602-0047,2026-02-16,Duplicate invoice,B2B SMB,KR,823,Marcus Johnson,,Awaiting owner,High,N,,,N,20,2,58
BILL-2602-0048,2026-02-24,Missing billing contact,Contractor,TW,4651,Priya Shah,,Resolved,Medium,N,2026-03-25,29,Y,30,1,50
BILL-2602-0049,2026-02-12,Amount mismatch (CRM vs invoice),B2B SMB,SG,4936,Marcus Johnson,,Resolved,Medium,N,2026-03-10,26,Y,25,1,62
BILL-2602-0050,2026-02-08,Missing invoice,Contractor,JP,7080,Marcus Johnson,,Resolved,Medium,N,2026-02-12,4,Y,20,2,66
BILL-2602-0051,2026-02-21,Missing tax ID,B2B Enterprise,JP,31856,Marcus Johnson,,Resolved,High,N,2026-02-26,5,Y,30,1,53
BILL-2602-0052,2026-02-16,Amount mismatch (CRM vs invoice),B2B Enterprise,KR,12015,Priya Shah,,Resolved,Medium,N,2026-02-19,3,Y,30,2,58
BILL-2602-0053,2026-02-02,Contractor rate mismatch,B2B SMB,HK,2596,Yuki Tanaka,,Resolved,Medium,N,2026-02-23,21,Y,15,3,72
BILL-2602-0054,2026-02-15,Pro-rata calculation needed,B2B SMB,US,1155,Danny Lee,,Awaiting owner,Medium,N,,,N,25,2,59
BILL-2602-0055,2026-02-27,Duplicate invoice,Vendor,HK,1955,Danny Lee,,Resolved,High,N,2026-03-17,18,Y,30,3,47
BILL-2602-0056,2026-02-04,Closed Won without contract,Vendor,US,2591,Marcus Johnson,,Awaiting owner,High,N,,,N,25,1,70
BILL-2602-0057,2026-02-18,Pro-rata calculation needed,B2B Enterprise,TW,16724,Haruto Saito,,Awaiting owner,Medium,N,,,N,30,3,56
BILL-2602-0058,2026-02-04,Rate change not reflected,B2B SMB,JP,3998,Marcus Johnson,,Resolved,Medium,N,2026-02-11,7,Y,25,1,70
BILL-2602-0059,2026-02-11,Amount mismatch (CRM vs invoice),B2B SMB,TW,3386,Sunjae Lee,,Resolved,Medium,N,2026-02-23,12,Y,25,2,63
BILL-2602-0060,2026-02-07,FX rate unclear,B2B Enterprise,KR,40758,Jin Park,,Resolved,High,N,2026-02-26,19,Y,25,2,67
BILL-2602-0061,2026-02-20,Duplicate invoice,B2B Enterprise,KR,23643,Jin Park,,Resolved,High,N,2026-02-26,6,Y,15,4,54
BILL-2602-0062,2026-02-23,Missing billing contact,Vendor,KR,14466,Marcus Johnson,,Awaiting owner,Medium,N,,,N,25,2,51
BILL-2602-0063,2026-02-05,Rate change not reflected,B2B Enterprise,KR,28308,Priya Shah,,Resolved,High,N,2026-02-18,13,Y,20,1,69
BILL-2602-0064,2026-02-24,Currency discrepancy,B2B Enterprise,JP,19249,陳冠宇,,Resolved,Medium,N,2026-03-08,12,Y,20,3,50
BILL-2602-0065,2026-02-20,FX rate unclear,Contractor,SG,2781,Priya Shah,CTR-0004,Resolved,Medium,N,2026-02-23,3,Y,60,1,54
BILL-2602-0066,2026-02-24,Duplicate invoice,B2B SMB,SG,2357,Danny Lee,,Resolved,High,N,2026-03-17,21,Y,30,2,50
BILL-2602-0067,2026-02-19,Missing invoice,B2B Enterprise,KR,40384,Minho Kim,,Resolved,High,N,2026-03-09,18,Y,20,2,55
BILL-2602-0068,2026-02-17,Duplicate invoice,Internal,HK,2556,Jin Park,,Resolved,High,N,2026-03-04,15,Y,40,1,57
BILL-2602-0069,2026-02-18,Late payment (30+ days),B2B Enterprise,TW,8231,Haruto Saito,,Resolved,Medium,N,2026-02-22,4,Y,25,3,56
BILL-2602-0070,2026-02-16,Amount mismatch (CRM vs invoice),Contractor,JP,3622,Minho Kim,CTR-0034,Resolved,Medium,N,2026-03-08,20,Y,20,1,58
BILL-2602-0071,2026-02-04,Duplicate invoice,B2B Enterprise,US,10871,Sunjae Lee,,Resolved,High,N,2026-02-19,15,Y,25,1,70
BILL-2602-0072,2026-02-12,Rate change not reflected,Contractor,HK,3386,陳冠宇,CTR-0029,Resolved,Medium,N,2026-03-11,27,Y,15,3,62
BILL-2602-0073,2026-02-28,Missing billing contact,Contractor,KR,7967,Danny Lee,CTR-0010,Resolved,Medium,N,2026-03-25,25,Y,40,3,46
BILL-2602-0074,2026-02-15,Missing invoice,B2B Enterprise,SG,24996,Minho Kim,,Resolved,High,N,2026-02-27,12,Y,30,1,59
BILL-2602-0075,2026-02-20,Missing tax ID,B2B SMB,JP,4456,Wei Chen,,Awaiting owner,Medium,N,,,N,30,2,54
BILL-2602-0076,2026-02-09,Duplicate invoice,Contractor,TW,2356,Minho Kim,,Resolved,High,N,2026-02-20,11,Y,30,1,65
BILL-2602-0077,2026-02-09,Pro-rata calculation needed,Vendor,KR,11819,Sunjae Lee,,Resolved,Medium,N,2026-03-04,23,Y,40,1,65
BILL-2602-0078,2026-02-23,Pro-rata calculation needed,B2B SMB,US,4665,陳冠宇,,Resolved,Medium,N,2026-03-07,12,Y,40,2,51
BILL-2603-0079,2026-03-02,Missing tax ID,Internal,TW,288,Jin Park,,Resolved,Medium,N,2026-03-20,18,Y,25,2,44
BILL-2603-0080,2026-03-21,Amount mismatch (CRM vs invoice),B2B Enterprise,TW,28290,Marcus Johnson,,Escalated,High,Y,,,N,20,1,25
BILL-2603-0081,2026-03-01,Currency discrepancy,Vendor,US,14350,Jin Park,,Escalated,Medium,N,,,N,20,1,45
BILL-2603-0082,2026-03-17,Duplicate invoice,Contractor,KR,5131,Minho Kim,CTR-0037,Resolved,High,N,2026-04-08,22,Y,20,4,29
BILL-2603-0083,2026-03-21,Rate change not reflected,B2B Enterprise,TW,18550,Wei Chen,,Resolved,Medium,Y,2026-03-29,8,Y,25,2,25
BILL-2603-0084,2026-03-05,Missing tax ID,Vendor,JP,13616,Wei Chen,,Resolved,Medium,N,2026-03-25,20,Y,25,2,41
BILL-2603-0085,2026-03-24,FX rate unclear,B2B Enterprise,JP,14536,Haruto Saito,,Resolved,Medium,Y,2026-04-08,15,Y,25,2,22
BILL-2603-0086,2026-03-07,Pro-rata calculation needed,Vendor,JP,13764,Danny Lee,,Resolved,Medium,N,2026-03-14,7,Y,40,2,39
BILL-2603-0087,2026-03-08,Currency discrepancy,Contractor,TW,6885,Sunjae Lee,CTR-0031,Resolved,Medium,N,2026-03-10,2,Y,20,3,38
BILL-2603-0088,2026-03-16,Contractor rate mismatch,Contractor,JP,5174,Danny Lee,CTR-0001,Resolved,Medium,N,2026-03-25,9,Y,60,4,30
BILL-2603-0089,2026-03-03,Missing billing contact,Contractor,US,3675,Priya Shah,CTR-0021,Resolved,Medium,N,2026-03-19,16,Y,40,3,43
BILL-2603-0090,2026-03-24,Duplicate invoice,B2B SMB,KR,3616,Priya Shah,,Resolved,High,Y,2026-04-13,20,Y,25,2,22
BILL-2603-0091,2026-03-15,FX rate unclear,Contractor,TW,5699,Danny Lee,,Awaiting owner,Medium,N,,,N,20,2,31
BILL-2603-0092,2026-03-02,FX rate unclear,B2B Enterprise,JP,46330,Haruto Saito,,Resolved,High,N,2026-03-18,16,Y,60,3,44
BILL-2603-0093,2026-03-23,Currency discrepancy,B2B SMB,JP,946,陳冠宇,,Resolved,Medium,N,2026-04-14,22,Y,15,2,23
BILL-2603-0094,2026-03-18,Amount mismatch (CRM vs invoice),Contractor,US,7702,Danny Lee,CTR-0013,Resolved,Medium,Y,2026-04-03,16,Y,60,1,28
BILL-2603-0095,2026-03-23,Late payment (30+ days),Contractor,US,3343,Sunjae Lee,CTR-0025,Resolved,Medium,N,2026-04-08,16,Y,30,4,23
BILL-2603-0096,2026-03-02,Rate change not reflected,Vendor,JP,7235,Sunjae Lee,,Awaiting owner,Medium,N,,,N,30,2,44
BILL-2603-0097,2026-03-14,Amount mismatch (CRM vs invoice),B2B Enterprise,KR,8362,陳冠宇,,Resolved,Medium,N,2026-04-08,25,Y,20,1,32
BILL-2603-0098,2026-03-01,Amount mismatch (CRM vs invoice),Internal,KR,1236,陳冠宇,,Resolved,Medium,N,2026-03-30,29,Y,25,1,45
BILL-2603-0099,2026-03-15,Contractor rate mismatch,B2B Enterprise,TW,36176,Priya Shah,,Resolved,High,N,2026-03-19,4,Y,30,1,31
BILL-2603-0100,2026-03-02,Missing tax ID,B2B Enterprise,TW,18607,Sunjae Lee,,Resolved,Medium,N,2026-03-05,3,Y,15,3,44
BILL-2603-0101,2026-03-03,Pro-rata calculation needed,Contractor,TW,4712,Wei Chen,CTR-0019,Resolved,Medium,N,2026-03-18,15,Y,30,2,43
BILL-2603-0102,2026-03-24,Rate change not reflected,Contractor,TW,5730,Yuki Tanaka,,Escalated,Medium,N,,,N,25,3,22
BILL-2603-0103,2026-03-10,Closed Won without contract,Contractor,SG,2531,Jin Park,CTR-0027,Resolved,High,N,2026-03-15,5,Y,25,2,36
BILL-2603-0104,2026-03-17,Rate change not reflected,B2B Enterprise,TW,46220,Priya Shah,,Resolved,High,N,2026-04-10,24,Y,60,4,29
BILL-2603-0105,2026-03-17,Currency discrepancy,B2B SMB,SG,2627,Priya Shah,,Resolved,Medium,N,2026-03-23,6,Y,30,2,29
BILL-2603-0106,2026-03-23,Pro-rata calculation needed,B2B SMB,SG,2406,Danny Lee,,Resolved,Medium,Y,2026-03-28,5,Y,25,3,23
BILL-2603-0107,2026-03-14,FX rate unclear,Vendor,HK,7793,Marcus Johnson,,Resolved,Medium,N,2026-03-27,13,Y,40,1,32
BILL-2603-0108,2026-03-10,Pro-rata calculation needed,B2B Enterprise,JP,9445,Sunjae Lee,,Resolved,Medium,N,2026-03-29,19,Y,40,1,36
BILL-2603-0109,2026-03-01,Late payment (30+ days),B2B Enterprise,HK,45369,Minho Kim,,Awaiting owner,High,N,,,N,25,1,45
BILL-2603-0110,2026-03-21,Pro-rata calculation needed,B2B SMB,JP,791,Marcus Johnson,,Resolved,Medium,Y,2026-04-06,16,Y,60,2,25
BILL-2603-0111,2026-03-10,Duplicate invoice,Vendor,KR,9537,Sunjae Lee,,Resolved,High,N,2026-04-02,23,Y,30,1,36
BILL-2603-0112,2026-03-03,Rate change not reflected,Contractor,HK,4896,Jin Park,,Escalated,Medium,N,,,N,25,2,43
BILL-2603-0113,2026-03-06,Missing tax ID,Vendor,TW,7382,Jin Park,,Resolved,Medium,N,2026-04-04,29,Y,30,1,40
BILL-2603-0114,2026-03-12,Missing invoice,B2B Enterprise,KR,20574,Minho Kim,,Resolved,High,N,2026-03-23,11,Y,25,1,34
BILL-2603-0115,2026-03-15,Late payment (30+ days),Contractor,HK,2758,陳冠宇,,Resolved,Medium,N,2026-04-11,27,Y,20,1,31
BILL-2603-0116,2026-03-05,Contractor rate mismatch,Contractor,TW,4681,Yuki Tanaka,,Awaiting owner,Medium,N,,,N,60,2,41
BILL-2603-0117,2026-03-23,Amount mismatch (CRM vs invoice),B2B Enterprise,KR,30400,Danny Lee,,Resolved,High,N,2026-04-03,11,Y,30,2,23
BILL-2603-0118,2026-03-17,Closed Won without contract,B2B Enterprise,US,11756,Danny Lee,,Awaiting owner,High,N,,,N,30,1,29
BILL-2603-0119,2026-03-18,Missing billing contact,B2B Enterprise,KR,23130,Jin Park,,Resolved,High,Y,2026-03-23,5,Y,20,1,28
BILL-2603-0120,2026-03-07,Missing invoice,Internal,TW,619,Sunjae Lee,,Resolved,Medium,N,2026-03-26,19,Y,20,3,39
BILL-2603-0121,2026-03-20,Currency discrepancy,Contractor,KR,4550,Wei Chen,CTR-0004,Resolved,Medium,N,2026-03-23,3,Y,20,1,26
BILL-2603-0122,2026-03-20,Duplicate invoice,B2B SMB,HK,4152,Marcus Johnson,,Resolved,High,N,2026-03-28,8,Y,15,3,26
BILL-2603-0123,2026-03-15,Contractor rate mismatch,Contractor,KR,7722,陳冠宇,CTR-0015,Resolved,Medium,N,2026-03-26,11,Y,20,3,31
BILL-2603-0124,2026-03-22,Currency discrepancy,Vendor,JP,12462,Sunjae Lee,,Escalated,Medium,Y,,,N,25,1,24
BILL-2603-0125,2026-03-10,Contractor rate mismatch,B2B Enterprise,JP,16193,Priya Shah,,Awaiting owner,Medium,N,,,N,30,2,36
BILL-2603-0126,2026-03-18,Duplicate invoice,Vendor,HK,6339,Marcus Johnson,,Awaiting owner,High,N,,,N,25,2,28
BILL-2603-0127,2026-03-13,Missing billing contact,Contractor,TW,5951,Priya Shah,CTR-0028,Resolved,Medium,N,2026-03-21,8,Y,30,1,33
BILL-2603-0128,2026-03-24,FX rate unclear,B2B Enterprise,TW,10104,Yuki Tanaka,,Resolved,Medium,N,2026-04-10,17,Y,30,2,22
BILL-2603-0129,2026-03-13,Missing tax ID,B2B Enterprise,JP,25187,Priya Shah,,Resolved,High,N,2026-03-18,5,Y,40,2,33
BILL-2604-0130,2026-04-11,Closed Won without contract,B2B Enterprise,KR,43061,Wei Chen,,Resolved,High,N,2026-04-15,4,Y,25,1,4
BILL-2604-0131,2026-04-11,Rate change not reflected,Contractor,KR,7582,Jin Park,,Resolved,Medium,Y,2026-04-15,4,Y,60,2,4
BILL-2604-0132,2026-04-07,Late payment (30+ days),Internal,TW,2704,Sunjae Lee,,Resolved,Low,N,2026-04-09,2,Y,60,4,8
BILL-2604-0133,2026-04-04,Missing invoice,Contractor,SG,4942,Haruto Saito,,Resolved,Low,N,2026-04-09,5,Y,25,1,11
BILL-2604-0134,2026-04-03,Duplicate invoice,B2B SMB,JP,2230,Haruto Saito,,In review,High,N,,,N,40,2,12
BILL-2604-0135,2026-04-05,Duplicate invoice,B2B Enterprise,US,48913,Danny Lee,,Open,High,Y,,,N,20,3,10
BILL-2604-0136,2026-04-05,Pro-rata calculation needed,B2B SMB,US,1193,陳冠宇,,Awaiting owner,Low,N,,,N,60,2,10
BILL-2604-0137,2026-04-14,Duplicate invoice,Contractor,JP,5474,Wei Chen,CTR-0001,Open,High,N,,,N,30,3,1
BILL-2604-0138,2026-04-06,Missing billing contact,Contractor,JP,6474,陳冠宇,,Open,Medium,Y,,,N,20,2,9
BILL-2604-0139,2026-04-13,FX rate unclear,B2B Enterprise,HK,39498,Yuki Tanaka,,In review,High,N,,,N,25,2,2
BILL-2604-0140,2026-04-11,Missing billing contact,B2B SMB,HK,1139,Priya Shah,,Awaiting owner,Low,N,,,N,15,1,4
BILL-2604-0141,2026-04-12,Missing invoice,B2B SMB,TW,4343,Jin Park,,Open,Low,Y,,,N,20,1,3
BILL-2604-0142,2026-04-09,Rate change not reflected,Contractor,HK,6617,Wei Chen,CTR-0019,Awaiting owner,Medium,Y,,,N,40,2,6
BILL-2604-0143,2026-04-13,Currency discrepancy,B2B SMB,KR,1129,Jin Park,,Open,Low,Y,,,N,20,1,2
BILL-2604-0144,2026-04-03,FX rate unclear,B2B Enterprise,KR,43782,Wei Chen,,Awaiting owner,High,N,,,N,20,2,12
BILL-2604-0145,2026-04-11,Contractor rate mismatch,B2B Enterprise,TW,7168,Wei Chen,,Resolved,Medium,N,2026-04-15,4,Y,40,3,4
BILL-2604-0146,2026-04-11,Duplicate invoice,Contractor,KR,5605,Sunjae Lee,CTR-0017,Awaiting owner,High,Y,,,N,40,1,4
BILL-2604-0147,2026-04-13,Amount mismatch (CRM vs invoice),B2B SMB,JP,4401,Haruto Saito,,Open,Low,N,,,N,25,1,2
BILL-2604-0148,2026-04-13,Duplicate invoice,B2B Enterprise,US,34413,Danny Lee,,Awaiting owner,High,N,,,N,15,2,2
BILL-2604-0149,2026-04-05,Late payment (30+ days),Internal,JP,2870,Yuki Tanaka,,In review,Low,Y,,,N,20,2,10
BILL-2604-0150,2026-04-13,Contractor rate mismatch,Contractor,HK,7504,Wei Chen,CTR-0001,Open,Medium,Y,,,N,30,3,2
BILL-2604-0151,2026-04-12,Missing invoice,B2B SMB,TW,4153,Minho Kim,,Open,Low,Y,,,N,15,2,3
BILL-2604-0152,2026-04-07,Missing invoice,Vendor,TW,14688,Yuki Tanaka,,Awaiting owner,Medium,N,,,N,15,2,8
BILL-2604-0153,2026-04-03,Duplicate invoice,Contractor,US,6637,Jin Park,CTR-0005,Resolved,High,N,2026-04-09,6,Y,30,3,12
BILL-2604-0154,2026-04-13,Currency discrepancy,Contractor,TW,7468,Yuki Tanaka,CTR-0004,Open,Medium,Y,,,N,25,1,2
BILL-2604-0155,2026-04-02,Missing invoice,B2B Enterprise,SG,16660,Haruto Saito,,Resolved,Medium,N,2026-04-13,11,Y,20,2,13
BILL-2604-0156,2026-04-12,Amount mismatch (CRM vs invoice),B2B SMB,JP,1370,Yuki Tanaka,,Open,Low,Y,,,N,30,1,3
BILL-2604-0157,2026-04-01,Contractor rate mismatch,B2B Enterprise,JP,47786,Wei Chen,,Resolved,High,N,2026-04-07,6,Y,30,3,14
BILL-2604-0158,2026-04-07,Rate change not reflected,B2B Enterprise,HK,37157,Yuki Tanaka,,Resolved,High,N,2026-04-15,8,Y,25,1,8
BILL-2604-0159,2026-04-06,FX rate unclear,Vendor,JP,10293,Danny Lee,,In review,Medium,Y,,,N,30,4,9
BILL-2604-0160,2026-04-03,Closed Won without contract,B2B SMB,SG,3285,Minho Kim,,Resolved,High,N,2026-04-09,6,Y,20,1,12
BILL-2604-0161,2026-04-04,Duplicate invoice,Contractor,JP,5195,Yuki Tanaka,,Awaiting owner,High,N,,,N,25,1,11
BILL-2604-0162,2026-04-08,Missing invoice,B2B Enterprise,HK,43859,Marcus Johnson,,Open,High,N,,,N,30,2,7
BILL-2604-0163,2026-04-02,Contractor rate mismatch,Internal,KR,1589,Yuki Tanaka,,Resolved,Low,Y,2026-04-10,8,Y,20,2,13
BILL-2604-0164,2026-04-05,Missing tax ID,B2B SMB,TW,4895,Yuki Tanaka,,In review,Low,N,,,N,15,1,10
BILL-2604-0165,2026-04-02,Pro-rata calculation needed,B2B Enterprise,US,45525,Danny Lee,,Awaiting owner,High,Y,,,N,20,1,13
BILL-2604-0166,2026-04-06,Currency discrepancy,Vendor,KR,11014,Yuki Tanaka,,Open,Medium,N,,,N,20,2,9
BILL-2604-0167,2026-04-11,Rate change not reflected,B2B Enterprise,SG,32932,Haruto Saito,,Resolved,High,N,2026-04-15,4,Y,25,4,4
BILL-2604-0168,2026-04-01,Rate change not reflected,B2B SMB,JP,2246,Yuki Tanaka,,In review,Low,N,,,N,20,3,14
BILL-2604-0169,2026-04-08,Amount mismatch (CRM vs invoice),Contractor,TW,5593,Yuki Tanaka,,Open,Medium,N,,,N,30,2,7
BILL-2604-0170,2026-04-01,Amount mismatch (CRM vs invoice),B2B Enterprise,JP,5416,Priya Shah,,Open,Medium,Y,,,N,60,2,14
BILL-2604-0171,2026-04-09,Contractor rate mismatch,Contractor,KR,7241,Wei Chen,CTR-0003,Awaiting owner,Medium,N,,,N,30,2,6
BILL-2604-0172,2026-04-12,Rate change not reflected,Internal,TW,1433,Minho Kim,,In review,Low,N,,,N,20,2,3
BILL-2604-0173,2026-04-04,Closed Won without contract,Contractor,SG,6421,Minho Kim,CTR-0013,Awaiting owner,High,N,,,N,20,1,11
BILL-2604-0174,2026-04-02,Contractor rate mismatch,B2B SMB,KR,853,Haruto Saito,,In review,Low,N,,,N,20,2,13
BILL-2604-0175,2026-04-06,Contractor rate mismatch,B2B Enterprise,HK,40216,Marcus Johnson,,Open,High,Y,,,N,20,3,9
