날짜,채널,콘텐츠유형,제목,도시,주제카테고리,발송수,오픈수,오픈율,도달수,좋아요,댓글,저장,공유,링크클릭,프로필방문,트립문의건수
2026-01-04,뉴스레터,에디션,나카메구로의 조용한 세대교체,도쿄,브랜드,10990,4436,40.4,,,,,26,227,,7
2026-01-04,인스타그램,카드뉴스,상하이 리테일 트렌드,상하이,트렌드,,,,2644,87,31,31,25,25,29,3
2026-01-05,뉴스레터,에디션,서울 로컬 F&B 브랜드의 도쿄 진출기,서울,F&B,11046,3740,33.9,,,,,25,168,,0
2026-01-05,뉴스레터,에디션,북촌에서 읽는 공간 브랜딩의 현재,서울,디자인,11045,3856,34.9,,,,,21,225,,2
2026-01-06,뉴스레터,에디션,상하이 차(茶) 문화의 현대적 재해석,상하이,F&B,11041,4912,44.5,,,,,18,355,,4
2026-01-06,인스타그램,카드뉴스,상하이 안푸루 거리 완전정복,상하이,리테일,,,,2491,148,27,42,16,18,69,2
2026-01-07,인스타그램,캐러셀,서울 셀렉트숍 추천,서울,디자인,,,,4879,374,26,153,41,57,87,0
2026-01-08,뉴스레터,에디션,브루클린 F&B 씬이 말하는 2026 키워드,뉴욕,F&B,11023,3450,31.3,,,,,43,203,,0
2026-01-09,인스타그램,릴스,긴자 쇼핑 루트 가이드,도쿄,브랜드,,,,14982,1195,58,245,134,206,429,3
2026-01-10,뉴스레터,에디션,나이키 x 런던: 로컬 콜라보의 교과서,런던,브랜드,11039,3835,34.7,,,,,22,302,,2
2026-01-10,인스타그램,캐러셀,상하이 팝업 현장 스케치,상하이,F&B,,,,5910,358,87,175,30,47,155,2
2026-01-12,뉴스레터,에디션,K-뷰티 이후 K-웰니스가 온다,서울,트렌드,11081,3825,34.5,,,,,21,204,,3
2026-01-12,뉴스레터,에디션,K-뷰티의 상하이 2026 - 올리브영 이후,상하이,브랜드,11066,4870,44.0,,,,,39,271,,3
2026-01-13,뉴스레터,에디션,성수동 팝업의 진짜 수익 구조,서울,리테일,11094,4120,37.1,,,,,16,194,,0
2026-01-13,뉴스레터,에디션,신천지에서 읽는 중국 프리미엄 소비,상하이,트렌드,11071,4573,41.3,,,,,35,353,,6
2026-01-14,뉴스레터,에디션,뉴욕 브랜드가 도쿄를 바라보는 시선,뉴욕,브랜드,11066,3640,32.9,,,,,16,327,,1
2026-01-15,인스타그램,카드뉴스,런던 스페셜티 커피,런던,공간,,,,2113,121,13,59,33,23,29,0
2026-01-16,인스타그램,캐러셀,상하이 안푸루 거리 완전정복,상하이,브랜드,,,,6627,213,46,92,130,62,87,2
2026-01-16,인스타그램,단일이미지,상하이 차 카페 추천,상하이,브랜드,,,,2765,103,9,58,36,14,51,1
2026-01-16,인스타그램,카드뉴스,쇼디치 브랜드 스냅,런던,공간,,,,2797,98,34,102,31,18,62,2
2026-01-19,인스타그램,카드뉴스,브루클린 카페 투어,뉴욕,F&B,,,,5135,239,72,174,92,39,134,1
2026-01-26,뉴스레터,에디션,상하이 팝업스토어 분석: 왜 짧고 강렬한가,상하이,리테일,11112,4783,43.0,,,,,17,397,,5
2026-01-29,뉴스레터,에디션,Chelsea Market 리뉴얼이 던지는 화두,뉴욕,공간,11174,3960,35.4,,,,,32,276,,0
2026-01-29,인스타그램,카드뉴스,도쿄 카페 5선: 로컬이 가는 곳,도쿄,F&B,,,,5519,292,36,186,46,38,57,1
2026-01-31,인스타그램,캐러셀,뉴욕 브런치 가이드,뉴욕,공간,,,,4178,330,39,159,28,28,122,2
2026-02-01,인스타그램,릴스,긴자 쇼핑 루트 가이드,도쿄,리테일,,,,13738,627,141,348,148,103,295,2
2026-02-02,뉴스레터,에디션,안푸루 거리: 상하이 MZ가 모이는 곳,상하이,공간,11175,4607,41.2,,,,,8,407,,4
2026-02-02,인스타그램,캐러셀,도쿄 라멘 트렌드 2026,도쿄,디자인,,,,7048,447,51,85,105,57,117,3
2026-02-03,뉴스레터,에디션,월마트가 상하이에서 SNS형 매장을 여는 이유,상하이,리테일,11158,4736,42.5,,,,,25,316,,4
2026-02-03,인스타그램,카드뉴스,한남동 플래그십 비교,서울,리테일,,,,4094,205,26,56,46,48,117,2
2026-02-04,뉴스레터,에디션,포트넘앤메이슨 300년 브랜딩의 비밀,런던,브랜드,11178,3229,28.9,,,,,37,199,,0
2026-02-04,인스타그램,릴스,한남동 플래그십 비교,서울,F&B,,,,4317,191,35,118,63,40,83,0
2026-02-06,인스타그램,카드뉴스,상하이 팝업 현장 스케치,상하이,디자인,,,,4685,288,32,161,76,33,109,0
2026-02-08,인스타그램,캐러셀,도쿄 3박4일 동선 추천,도쿄,F&B,,,,7222,381,98,196,113,64,127,0
2026-02-09,뉴스레터,에디션,도쿄 빈티지 리셀 시장 폭발의 배경,도쿄,리테일,11230,5278,47.0,,,,,40,280,,5
2026-02-10,뉴스레터,에디션,어드민 나이트: 뉴욕의 생산성 이벤트 문화,뉴욕,트렌드,11222,4185,37.3,,,,,27,349,,3
2026-02-13,뉴스레터,에디션,도쿄 바나나의 시대는 끝났다: 2026 디저트 지형도,도쿄,트렌드,11238,5042,44.9,,,,,18,240,,4
2026-02-14,인스타그램,카드뉴스,성수 이번 주 팝업 정리,서울,F&B,,,,6278,406,53,167,117,39,78,0
2026-02-15,뉴스레터,에디션,런던 커피 씬이 도쿄와 다른 세 가지,런던,F&B,11266,3985,35.4,,,,,28,342,,0
2026-02-16,인스타그램,캐러셀,상하이 K-뷰티 매장 투어,상하이,F&B,,,,6899,381,89,182,127,67,171,0
2026-02-16,인스타그램,캐러셀,도쿄 호텔 추천 4곳,도쿄,공간,,,,5602,343,35,69,52,45,86,2
2026-02-18,뉴스레터,에디션,상하이 로컬 브랜드의 글로벌 확장법,상하이,브랜드,11241,4994,44.4,,,,,27,419,,2
2026-02-18,뉴스레터,에디션,한남동 플래그십 스토어 3곳 비교 분석,서울,브랜드,11249,4389,39.0,,,,,13,383,,2
2026-02-18,인스타그램,캐러셀,도쿄 3박4일 동선 추천,도쿄,F&B,,,,6815,226,53,179,76,62,96,3
2026-02-18,인스타그램,단일이미지,서울 디저트 트렌드,서울,브랜드,,,,3412,167,10,70,55,49,92,0
2026-02-20,뉴스레터,에디션,시부야 뒷골목 카페 5곳의 공통점,도쿄,F&B,11297,4581,40.6,,,,,16,357,,2
2026-02-21,인스타그램,단일이미지,북촌 공간 탐방,서울,리테일,,,,2550,111,22,55,38,31,66,2
2026-02-24,뉴스레터,에디션,리버티 백화점이 살아남은 진짜 이유,런던,공간,11297,4018,35.6,,,,,41,193,,2
2026-02-25,인스타그램,캐러셀,쇼디치 브랜드 스냅,런던,F&B,,,,6530,223,53,235,50,54,99,0
2026-02-26,뉴스레터,에디션,맨해튼 플래그십의 새로운 공식,뉴욕,디자인,11305,4263,37.7,,,,,20,368,,2
2026-02-26,인스타그램,캐러셀,상하이 빈티지 마켓,상하이,공간,,,,7638,325,30,80,99,64,229,2
2026-02-27,인스타그램,단일이미지,소호 리테일 스냅,뉴욕,브랜드,,,,1654,51,7,22,24,11,35,1
2026-02-28,인스타그램,캐러셀,을지로 카페 루트,서울,리테일,,,,7087,253,90,275,46,57,74,1
2026-02-28,인스타그램,카드뉴스,런던 빈티지 마켓,런던,디자인,,,,5108,365,30,157,48,66,120,1
2026-02-28,인스타그램,릴스,상하이 안푸루 거리 완전정복,상하이,공간,,,,12870,430,138,133,145,120,254,1
2026-03-01,인스타그램,카드뉴스,런던 빈티지 마켓,런던,디자인,,,,3179,178,34,90,59,30,81,2
2026-03-02,인스타그램,캐러셀,한남동 플래그십 비교,서울,트렌드,,,,3112,230,18,74,44,16,54,2
2026-03-06,인스타그램,캐러셀,도쿄 3박4일 동선 추천,도쿄,공간,,,,4991,369,56,91,25,29,144,2
2026-03-07,뉴스레터,에디션,서울 셀렉트숍의 생존 공식,서울,리테일,11352,4536,40.0,,,,,36,328,,2
2026-03-07,인스타그램,릴스,상하이 브런치 맛집,상하이,디자인,,,,15285,801,49,287,169,177,227,1
2026-03-09,인스타그램,단일이미지,상하이 K-뷰티 매장 투어,상하이,F&B,,,,3101,147,26,59,26,25,75,2
2026-03-10,인스타그램,카드뉴스,런던 스페셜티 커피,런던,트렌드,,,,5101,337,75,131,47,35,61,0
2026-03-12,뉴스레터,에디션,쓰키지 재개발 1년 후: 관광과 로컬의 공존,도쿄,공간,11383,4663,41.0,,,,,29,238,,0
2026-03-13,인스타그램,릴스,도쿄 카페 5선: 로컬이 가는 곳,도쿄,디자인,,,,8886,699,85,274,61,88,243,3
2026-03-13,인스타그램,릴스,서울 셀렉트숍 추천,서울,F&B,,,,7571,246,108,184,131,43,136,1
2026-03-13,인스타그램,단일이미지,편의점 디저트 신상 7종,도쿄,리테일,,,,1468,62,14,33,20,18,32,1
2026-03-14,인스타그램,단일이미지,포트넘앤메이슨 탐방,런던,리테일,,,,2241,136,23,72,43,15,31,1
2026-03-15,인스타그램,카드뉴스,편의점 디저트 신상 7종,도쿄,리테일,,,,2096,110,21,39,17,25,50,1
2026-03-19,뉴스레터,에디션,소호 리테일의 구조적 변화 2026,뉴욕,리테일,11428,3638,31.8,,,,,12,185,,2
2026-03-20,뉴스레터,에디션,도쿄 편의점 진화론 - 로손의 실험,도쿄,트렌드,11402,4769,41.8,,,,,29,406,,1
2026-03-21,뉴스레터,에디션,쇼디치에서 배우는 스몰 브랜드 생존기,런던,리테일,11419,3451,30.2,,,,,42,221,,0
2026-03-23,뉴스레터,에디션,런던 디자인 뮤지엄에서 얻은 3가지 인사이트,런던,디자인,11474,4022,35.1,,,,,23,276,,2
2026-03-23,인스타그램,캐러셀,한남동 플래그십 비교,서울,디자인,,,,8426,336,36,141,60,54,129,0
2026-03-24,인스타그램,카드뉴스,뉴욕 브런치 가이드,뉴욕,F&B,,,,6377,414,91,159,79,34,74,0
2026-03-26,인스타그램,카드뉴스,상하이 야경 스팟,상하이,브랜드,,,,8082,580,80,311,161,62,189,0
2026-03-26,인스타그램,캐러셀,서울 셀렉트숍 추천,서울,리테일,,,,9258,361,92,268,114,78,109,0
2026-03-26,인스타그램,릴스,을지로 카페 루트,서울,공간,,,,12121,765,94,397,67,91,142,0
2026-03-27,뉴스레터,에디션,을지로 리뉴얼: 힙과 역사 사이의 긴장,서울,공간,11488,4050,35.3,,,,,35,181,,0
2026-03-28,뉴스레터,에디션,긴자 식스 리뉴얼이 말하는 럭셔리 리테일의 방향,도쿄,리테일,11469,5016,43.7,,,,,14,383,,1
2026-03-28,인스타그램,단일이미지,소호 리테일 스냅,뉴욕,디자인,,,,2791,91,25,80,34,15,52,0
2026-03-29,뉴스레터,에디션,다이칸야마 T-SITE 10주년이 남긴 질문,도쿄,공간,11494,4909,42.7,,,,,23,407,,1
2026-03-29,인스타그램,단일이미지,시부야 스크램블 너머의 골목,도쿄,F&B,,,,2871,90,30,97,44,14,46,1
2026-03-30,인스타그램,단일이미지,긴자 쇼핑 루트 가이드,도쿄,F&B,,,,3443,129,48,64,53,33,63,1
2026-03-31,인스타그램,카드뉴스,상하이 팝업 현장 스케치,상하이,F&B,,,,5820,391,26,70,96,48,157,2
